,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Linifanib (ABT-869),0.0016770067906643478,0.002183906865757368,0.0034321442470948023,0.004192999016853202,0.003457095848359175,0.00786409106661353,0.007326542319944656,0.005218708301938589,0.00666958762209505,0.005016675171521169,0.0036355861164223363,0.006636914130830259,0.009024551443263537,0.00566808306554848,0.006749666610188126,0.011017841940926162,0.01503759335151077,0.005515008014904739,0.019984929613710956,0.0061247111352808244,0.010167291800986043,0.01017924235278049,0.01478349228421024,0.010702148678326914,0.009967378532722577
Y-27632 2HCl,0.0020912747168070657,0.0019275485816646076,0.002244404829397938,0.004097855864457646,0.005712062149417821,0.006004781838120235,0.0036882874207542285,0.004101614608477612,0.004447540680583073,0.005807013143993031,0.00539137600326534,0.006610738869156086,0.007237016989652408,0.008616465261642805,0.006059138290639554,0.0066495173717228215,0.003661000577859029,0.008682081325965589,0.008331989591592549,0.006423920926284369,0.008852154525323331,0.008186804852186053,0.007061379652042046,0.004338396789719497,0.012079069160212013
Cediranib (AZD2171),0.0011276807403251432,0.001888573444890469,0.003647898748063103,0.0051226755553497975,0.004547329395846918,0.004043973075798715,0.005956089472858082,0.006269444842297447,0.0037839393469624324,0.005238628713317738,0.0049229825716975055,0.005005028166990011,0.003846009412412097,0.005656791715388281,0.00815163445822184,0.010851436616793754,0.005285105500079599,0.009118386795758136,0.012901762636727786,0.010359711395802875,0.012245985209386587,0.012043938595591717,0.015470193667130835,0.010810975655029986,0.017002934567080224
Avagacestat (BMS-708163),0.0011901333178684147,0.0011305213918475297,0.0027513396255406447,0.0036091540740625463,0.006181148980127401,0.004463434269777108,0.005707754505653024,0.006849051608028892,0.004358961658736724,0.00681673611223897,0.004993918000241422,0.006869233192891062,0.004607276306998825,0.005241264923676654,0.006696820016536693,0.005565282276958297,0.007447010187177636,0.009850740794040675,0.019678991638743107,0.007338725603869704,0.009604318927485167,0.010089719671136628,0.00948160530683587,0.011987179522309509,0.01322826254839748
Motesanib Diphosphate (AMG-706),0.0014398039974275266,0.002669701704434687,0.002027860090962121,0.002568011874977687,0.00500002969898568,0.006048303588062028,0.008722660611981872,0.007122835421625732,0.004952292483570465,0.004759334953861126,0.008208574803868374,0.006090807925635301,0.006569406183089698,0.0073305698261198725,0.007809917097225769,0.009979834243321054,0.01185431377463844,0.007031273809628736,0.010348509144315529,0.010998972971686165,0.009552398242463305,0.014067902878077094,0.009832204069865423,0.008989790800941805,0.01669542245127695
TWS119,0.00131181101549134,0.0010749764905701898,0.0014791763134783832,0.0015794165131291823,0.0034537180458305765,0.0034559665539100554,0.0020805113462543053,0.0023806920254114067,0.002667909781265046,0.0031512585479165833,0.002822264738026852,0.00411668664647423,0.0036310186195519425,0.0032218145172451746,0.004850368151464126,0.003627859080255851,0.004794496731837818,0.0026441411983855424,0.007260869460890706,0.00553571150459008,0.004735503250458249,0.00408177717451563,0.00712016567439493,0.006804973267576786,0.0067764698180402035
Sunitinib Malate,0.0014631635543841679,0.00233711629591306,0.0029341564832682018,0.0033625867210825416,0.006025772557103886,0.007384251855567231,0.0056327622874104005,0.006095231621063519,0.007247117260838958,0.004718589920365779,0.0076385868665938975,0.004013546672307378,0.006471429386089224,0.009674356485545238,0.005188506098806699,0.006595585425056419,0.008835792720190437,0.009778879828301274,0.008505821935133549,0.005190366576640218,0.008745381873369701,0.006680082741817255,0.0073355449932442475,0.009877703435480665,0.008730804992647632
AZ 960,0.001272782699075004,0.002173346227724503,0.0026601002561259745,0.0032976997985516227,0.003858997377660136,0.0036906926586059642,0.004101726633225524,0.003637368891621509,0.0026507494185147745,0.006227158928253379,0.006198555372602126,0.006468227583714515,0.00790323819416821,0.007713256505955316,0.008592232643179635,0.013170161041795303,0.00763892929502798,0.0040251855144292125,0.011921441250356041,0.009301180678650801,0.008745048937533938,0.007977859477829393,0.007097788380185611,0.00745874099386169,0.01404352771940364
SL-327,0.0006783099950257789,0.0009342053479981951,0.0008659671593084921,0.001924415556009473,0.0030012873437338964,0.0026325212713607135,0.0036376448255779994,0.0017893061650839652,0.00236113818923245,0.0017741225293519357,0.002252840658634812,0.002174424921632016,0.0029259540726932405,0.00450007133871679,0.002876730182503961,0.004298242633656122,0.005904817405811293,0.004166449616120614,0.006011402331429036,0.0051171982782287,0.005187145534493779,0.003950883705899677,0.006474837278327981,0.0070537011954011145,0.003553766805588923
MK-0752,0.0008322085590192134,0.0020938843027666428,0.0027505779197033917,0.003541034790208909,0.002395142312152216,0.004100909083936936,0.0032605621403215394,0.004054393073783391,0.0025681749605791218,0.00609746289521424,0.00581592810823003,0.008566977786807895,0.007560076847785291,0.011052470450872933,0.005020745874759318,0.012366570040136589,0.01087137415639292,0.006501454309303868,0.012747272042304173,0.012992989587949175,0.006322275533511568,0.01194518071076025,0.007431527334261127,0.012992538340425132,0.005985831540628848
SU11274,0.001390945548375734,0.0022419682196903224,0.0021130209996484944,0.003788149093008999,0.005706364049775511,0.006031012763252734,0.005928775088364415,0.005688057637540928,0.0059886847819942465,0.0036686895773621474,0.006567922757451823,0.007930397137144784,0.010453924124000985,0.009106308845542454,0.00691758490237265,0.0075564141491719075,0.00866028188109454,0.005768707733791623,0.010219421820831966,0.014308443072004573,0.007998376663182207,0.012447837259303155,0.009597306532229535,0.010106671974661596,0.012413957594763865
