,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Taselisib__1.0,-0.07393402824128567,0.027279942460520686,0.10089938809082788,0.012464744070238114,-0.11978217539564087,0.16905474397067202,0.16334410393169535,-0.06521293299617544,0.034203516047102464,-0.032586493710095796,-0.027368896540224286,0.005572094622932812,0.051224153898555246,0.170036341400916,-0.014146857114601069,0.2540745087091024,-0.29435935074718056,-0.0692603773774056,-0.11205640833475505,0.07869998913901485,0.0047980743710399,-0.058056234123256945,-0.33252938657456943,-0.02189410696139723,0.1890265513103741
Defactinib__0.0016,-0.024982147612993312,0.012932654056198558,-0.008187398165764127,0.0053363203546324955,0.02571222393334648,-0.005418611685488824,0.02226148352103664,0.008846338301272622,-0.02046021241104811,-0.023975612953653583,0.007969904075809598,0.02462339575175882,0.035237632057277396,0.09071375038348226,0.024603553400563645,0.17680777800497732,0.005280411531796444,0.018645803053851683,-0.055634282124937005,6.017011193299553e-05,-0.06284642115178123,-0.04290528334909445,-0.18381708655223386,0.04021107873868458,0.16041716784594615
YM155__0.04,-0.06896580422764217,0.06337224714320956,0.07184362473287043,-0.007528887494660808,-0.12532853194418664,0.10440529002613963,0.1476192205923202,-0.06635500318542413,0.02067162385026856,0.015590128173069965,-0.005223233960346058,0.006983729611512453,0.08154831738205943,-0.007412391749157782,0.03339316824531719,0.21310327382920372,-0.1214641921189723,-0.007888655759975213,0.0733898432569484,0.11176963655139811,-0.0402538626708298,0.0038721499684758382,-0.20051527338470146,-0.06586085072527151,-0.006721331280043737
Irinotecan mit 5-FU + Gefitinib__0.008,-0.009489188138990027,0.014429766009732812,0.02934301121738741,0.042478585659864496,-0.049019522452883074,0.15381327404362477,0.01948514162626698,-0.008625759992450927,-0.009607126678464691,-0.059505703193256834,0.04170603919047033,-0.037419733620396294,-0.053159738338411346,0.023418262242339404,-0.03128949255332286,0.14660069003628007,-0.09165515619438731,-0.036597733727591425,-0.14505324099085684,-0.06649807068371809,0.02008962757056878,-0.18674334234419404,-0.1951276208375031,-0.017016853169436783,0.16161080155326693
Volasertib__0.04,-0.11253371844880296,0.03430993330770522,0.11740323461924085,-0.025322623222327357,-0.22905237638758535,0.25487586059365447,0.2788895301877525,-0.1268744615245898,0.07333914464409605,-0.00931904845000511,-0.060323272500372685,0.006615775104535279,0.17459877926006498,0.03464368598156006,0.03232114113906777,0.31590858347025286,-0.3897261996166591,-0.0873309547246536,-0.007946752231871251,0.12661293707142368,0.06857634074862876,-0.08225067507554322,-0.30011842960557694,-0.0900026715105676,-0.00644249371645182
Gemcitabine__0.04,-0.040524285655924155,0.012311864630129975,0.02300684605541073,0.001466892099236229,-0.10936386980406601,0.1834907349339572,0.059850593491886296,-0.03159018367496945,0.019151703522677657,-0.04824365942611357,0.02829529877335457,-0.022801500326807077,0.03879027500491968,0.08534290373372955,0.09357032479262864,0.30817375024086646,-0.16082394322441837,-0.13194206969002892,-0.100062771738302,0.015326555606720063,0.1098294398161257,-0.1355110225198748,-0.2608285248050804,-0.041308880494536224,0.265147746232309
Bexaroten__0.04,-0.011371122364769892,0.0015962198405302004,0.023073262263820938,0.025571555358837372,0.008125268305509114,0.046028569080582594,0.0555230584060112,-0.011567754351078766,0.008113540371722726,-0.01220579985604695,0.023268304642985467,0.022507777537416486,-0.01684326023689859,0.006307793619373095,-0.04826681460141918,0.12164217282241796,-0.09869521174169583,-0.03388381123608389,-0.10871179134810982,-0.09244135982671746,0.0005055714441379583,-0.142030637903847,-0.1265026184884121,-0.061621812988227,0.17691050504098668
Dasatinib__0.008,-0.06324001149994743,0.056759683225257526,0.021254192343663512,-0.04978711826971902,-0.10249821853171773,0.09780360420941861,0.11019730014071719,-0.00876481261764422,0.006936789030040126,0.0009916508923506126,-0.006378991543412914,-0.003758330597309155,0.026643829338108622,0.034006860566722114,0.07355157832309542,0.21487412178701087,-0.19815117281024847,-0.06261988100389675,-0.15199777222309319,0.0032718000344328117,0.05496500249769409,-0.09407829946771493,-0.20134601143333,-0.0017117765520023454,0.06542393458649601
Staurosporine_500nM,-0.06353080720728134,0.038158763038180964,0.07513143962808379,-0.033899811278810914,-0.06875357196678246,0.25675486915766943,0.12490097889653384,-0.13789828541802077,0.12652086673826848,-0.11755016776973334,0.09864814922612386,0.014078424357507006,-0.05923668102224491,0.15411543931486207,-0.16093319615034024,0.33640083241120433,0.016874216600020198,-0.1052499132360121,-0.160261068428545,0.15422354910276276,0.033669068839490154,-0.13170662554192786,-0.33150547460048785,-0.09981795099581654,-0.06141656185939889
Palbociclib__0.0016,-0.024903808582979456,0.0023379870066182525,0.02447202287549443,0.02257815007863563,-0.006258412362310795,0.050501279737205584,0.07053545102035746,-0.012341624493463616,-0.00717498607725899,-0.020344815177230646,0.016340622596234318,0.003522117519434606,0.017009367656197795,0.07181232611022974,0.04947275629585015,0.1734460790010159,-0.1119538436890469,-0.02861021697479358,0.017293251316311438,-0.027253770648119596,0.0719310836152873,-0.09613866846193199,-0.11774702503904355,-0.06169422749450758,0.12102223841818434
Vinblastin__0.0016,-0.055570344701084795,0.011930946607610324,0.05606823122810915,0.009214826396875594,-0.057373842593310874,0.11456911975867581,0.13663281516540088,-0.045421443575954026,0.003424145387551384,0.0074763416222966604,-0.0698101331044981,0.010703914793154577,0.12497194280492326,-0.02835720728125097,0.08051038106059963,0.1477232050424291,-0.18588817777820038,-0.015587074963259881,-0.012320516634628855,0.03341838596399658,0.0018221093373767092,-0.03604212918201385,-0.1845240551166883,-0.08396022408674912,0.03283722740095104
