,AUC_Mean,AUC_Std,Distance,PValue
Linifanib (ABT-869),0.7132333260294362,0.05929863059725389,2.9788413637405315,0.000999000999000999
Y-27632 2HCl,0.5330994445594144,0.03149513010896783,0.9632934123010364,0.6923076923076923
Cediranib (AZD2171),0.8125846792526359,0.08845166021348716,6.049113093458942,0.000999000999000999
Avagacestat (BMS-708163),0.5449349329733489,0.02702164679193543,1.7132323207857953,0.5244755244755245
Motesanib Diphosphate (AMG-706),0.7071938902922843,0.06426636996367949,2.5047848853212487,0.000999000999000999
TWS119,0.5418018812495329,0.04500788589194879,0.6428045558654877,0.3856143856143856
Sunitinib Malate,0.7703632484360039,0.08040524846896509,3.2462749490083773,0.000999000999000999
AZ 960,0.618428683935364,0.05627031022523007,1.7696697428109818,0.000999000999000999
SL-327,0.8417468792754834,0.048384202627253806,4.041381822457102,0.000999000999000999
MK-0752,0.5924239063969885,0.04958658205660161,0.9843506426388888,0.003996003996003996
SU11274,0.6442292204104539,0.07647016603010263,3.013757886331117,0.000999000999000999
CHIR-98014,0.9071918864723003,0.023988982105506047,11.271435452474645,0.000999000999000999
Vatalanib (PTK787) 2HCl,0.6106195459509121,0.0915173575331524,1.5277031407716497,0.016983016983016984
WHI-P154,0.5539653105959293,0.02678947191985535,0.9407731478213103,0.1088911088911089
Foretinib (GSK1363089),0.8397689424530196,0.053789821579595075,10.551491597455215,0.000999000999000999
IWR-1-endo,0.583428250698134,0.05638503380574321,1.834740421388288,0.055944055944055944
AT9283,0.9769796767358845,0.00991606966566616,18.87295731376807,0.000999000999000999
BIO,0.6673054815540935,0.05207376734611979,1.9713116851943435,0.000999000999000999
Lenvatinib (E7080),0.7175459714805983,0.0792031801935769,2.38948734957822,0.000999000999000999
K02288,0.5931661254792246,0.06544047662165607,0.8304374900345644,0.005994005994005994
WZ8040,0.7065355370964743,0.08234242225908021,2.4001645928781783,0.000999000999000999
Filgotinib (GLPG0634),0.7010479561271051,0.040706889781444405,3.033053093402597,0.000999000999000999
DMSO,0.5040934961855185,0.003971274031245581,0.0,0.6363636363636364
AG-1024,0.6922079636075128,0.12064063682552036,3.6838186396539108,0.000999000999000999
GNF-5,0.6967726736480756,0.0337353641336396,1.9620350103585253,0.000999000999000999
BX-912,0.8941408928125302,0.03845742565883739,13.834528578833286,0.000999000999000999
Aurora A Inhibitor I,0.9339108522196758,0.03875763634508995,15.652991775530229,0.000999000999000999
VX-11e,0.9504123203305719,0.028107445853022574,8.050943329201376,0.000999000999000999
Pimasertib (AS-703026),0.9772366369823227,0.01649484617893406,9.571431654700222,0.000999000999000999
Quizartinib (AC220),0.8777566723787229,0.051367097079438324,10.573952890849242,0.000999000999000999
LJI308,0.6497856388714933,0.11822902306086941,2.589893438127043,0.000999000999000999
PHT-427,0.5973958303775478,0.04777100645382206,1.582324973639296,0.059940059940059943
BIRB 796 (Doramapimod),0.6537297935123012,0.05209016048564054,2.0247310727130574,0.002997002997002997
VE-821,0.6525833687819486,0.04670497165614272,1.622735857402513,0.001998001998001998
AZD8330,0.9318253473359748,0.056113038667669514,8.529669644046797,0.000999000999000999
GSK461364,0.9613938165377794,0.025550122195167908,16.894545292884484,0.000999000999000999
BMS-582949,0.6428446639925172,0.08381436099313674,1.8842455214823497,0.004995004995004995
Mubritinib (TAK 165),0.9108078803912136,0.040407439225269466,8.931538792157571,0.000999000999000999
Volasertib (BI 6727),0.6369925100474972,0.05959213844975992,3.0534408618116204,0.008991008991008992
Axitinib,0.593124769462601,0.09524419866474018,2.837058284339449,0.14885114885114886
Enzastaurin (LY317615),0.7017739768284722,0.05907480862024299,4.475300607006288,0.000999000999000999
"Dovitinib (TKI-258, CHIR-258)",0.8249070590348015,0.0745988762180859,11.472144084266153,0.000999000999000999
Ruxolitinib (INCB018424),0.5644259847570617,0.04020683521788665,0.7228129493201246,0.028971028971028972
Nilotinib (AMN-107),0.6357573778581076,0.08089768539099577,1.996967053419787,0.005994005994005994
Semagacestat (LY450139),0.6338790357271429,0.06046213763989809,1.8907592178260804,0.000999000999000999
"Temsirolimus (CCI-779, NSC 683864)",0.7631407417064743,0.08687946061818115,3.070019601768937,0.000999000999000999
DAPT (GSI-IX),0.5726475257033388,0.038737016740015014,1.5314317582664125,0.015984015984015984
Crizotinib (PF-02341066),0.961648155465126,0.03500113332023695,19.004294765191833,0.000999000999000999
ICG-001,0.5936853987545233,0.07053261044246156,2.1286520886529465,0.006993006993006993
Brivanib (BMS-540215),0.6628037090549878,0.07982494064684487,2.194724437874489,0.000999000999000999
GW788388,0.5505229532441585,0.04227536846829081,0.8215876954512689,0.3916083916083916
U0126-EtOH,0.5719209641407783,0.0685996611075502,1.1662940073079593,0.3676323676323676
S-Ruxolitinib (INCB018424),0.5476418742865811,0.04217372360212125,1.2417649632377805,0.23676323676323677
GSK690693,0.8491489683870219,0.07002007664062306,3.9488464285869234,0.000999000999000999
SANT-1,0.5483914390770742,0.05793075955884019,0.9050818187200054,0.3676323676323676
Brivanib Alaninate (BMS-582664),0.6460058533565919,0.07418432479553062,2.0949489597521214,0.000999000999000999
Ro 31-8220 Mesylate,0.9429618043620052,0.014794252921843139,9.952226566411138,0.000999000999000999
CP-724714,0.6305305667097294,0.07149676196369151,2.070490052384142,0.003996003996003996
AR-A014418,0.5894787065171302,0.04661446796951921,1.4862309201683532,0.000999000999000999
