,Importance
x.0.m.cx,0.0
x.0.m.cy,0.0
x.0.m.majoraxis,0.0
x.0.m.eccentricity,0.0007953997550116688
x.0.m.theta,0.00010826284055946054
x.0.s.area,0.0
x.0.s.perimeter,0.003012070045877702
x.0.s.radius.mean,0.015875119607392216
x.0.s.radius.sd,0.0
x.0.s.radius.min,0.00030230802278406776
x.0.s.radius.max,0.0
x.a.b.mean,0.00014610543626071288
x.a.b.sd,0.0
x.a.b.mad,0.00010830281273041549
x.a.b.q001,0.0
x.a.b.q005,0.0
x.a.b.q05,0.0
x.a.b.q095,0.0010356704222441913
x.a.b.q099,0.0
x.a.m.cx,0.0
x.a.m.cy,0.0001217956956293931
x.a.m.majoraxis,0.0007767562354693365
x.a.m.eccentricity,0.0
x.a.m.theta,8.660524952061103e-05
x.a.h.asm.s1,0.0
x.a.h.con.s1,0.0
x.a.h.cor.s1,0.0005828783110416195
x.a.h.var.s1,0.00010823088406052058
x.a.h.idm.s1,0.0
x.a.h.sav.s1,0.0009485191481781758
x.a.h.sva.s1,0.0
x.a.h.sen.s1,0.0
x.a.h.ent.s1,0.0
x.a.h.dva.s1,0.00010840365932742213
x.a.h.den.s1,0.00010823373655232059
x.a.h.f12.s1,0.0
x.a.h.f13.s1,0.0
x.a.h.asm.s2,0.0
x.a.h.con.s2,0.0
x.a.h.cor.s2,0.0
x.a.h.var.s2,0.0
x.a.h.idm.s2,0.0008553840377217568
x.a.h.sav.s2,0.0
x.a.h.sva.s2,0.0006810276403632945
x.a.h.sen.s2,0.0
x.a.h.ent.s2,0.0001602280731697717
x.a.h.dva.s2,0.00047223281714668463
x.a.h.den.s2,0.0004234940181469936
x.a.h.f12.s2,5.560135059677413e-05
x.a.h.f13.s2,0.0
x.a.h.asm.s4,0.0002922310886912657
x.a.h.con.s4,0.0006973512643444904
x.a.h.cor.s4,0.0
x.a.h.var.s4,0.0
x.a.h.idm.s4,0.0
x.a.h.sav.s4,0.0002599267505529971
x.a.h.sva.s4,0.0007507747120504618
x.a.h.sen.s4,0.050249694530891544
x.a.h.ent.s4,0.0001460603230514733
x.a.h.dva.s4,0.0
x.a.h.den.s4,0.0
x.a.h.f12.s4,0.0003124119597992756
x.a.h.f13.s4,0.0
x.a.h.asm.s8,0.0005524048130227568
x.a.h.con.s8,0.0
x.a.h.cor.s8,0.0
x.a.h.var.s8,0.0
x.a.h.idm.s8,0.00030705455454834465
x.a.h.sav.s8,8.119713041959541e-05
x.a.h.sva.s8,0.00010823373655232062
x.a.h.sen.s8,0.0002947938210744386
x.a.h.ent.s8,0.0
x.a.h.dva.s8,0.0
x.a.h.den.s8,0.0
x.a.h.f12.s8,0.0
x.a.h.f13.s8,0.0
x.a.h.asm.s16,0.0002644021125317161
x.a.h.con.s16,0.0
x.a.h.cor.s16,0.0
x.a.h.var.s16,0.0
x.a.h.idm.s16,0.0003197907950158955
x.a.h.sav.s16,7.102347596006874e-05
x.a.h.sva.s16,0.0004866355221855307
x.a.h.sen.s16,0.04869133023134413
x.a.h.ent.s16,0.00847823100497833
x.a.h.dva.s16,0.0
x.a.h.den.s16,0.004148759224168716
x.a.h.f12.s16,0.0
x.a.h.f13.s16,0.000481786425510132
x.a.h.asm.s32,0.0
x.a.h.con.s32,0.0
x.a.h.cor.s32,0.0
x.a.h.var.s32,0.0
x.a.h.idm.s32,0.00032075621620986913
x.a.h.sav.s32,0.0
x.a.h.sva.s32,0.0
x.a.h.sen.s32,0.0
x.a.h.ent.s32,0.00023192943546925847
x.a.h.dva.s32,0.0
x.a.h.den.s32,0.04424324149509625
x.a.h.f12.s32,0.00014583636960190086
x.a.h.f13.s32,0.0002814833854545975
x.a.h.asm.s64,0.0
x.a.h.con.s64,0.0008869302979760239
x.a.h.cor.s64,0.0
x.a.h.var.s64,0.0
x.a.h.idm.s64,0.0
x.a.h.sav.s64,0.0
x.a.h.sva.s64,0.0
x.a.h.sen.s64,0.0
x.a.h.ent.s64,0.0010621734591185225
x.a.h.dva.s64,0.0
x.a.h.den.s64,0.0
x.a.h.f12.s64,0.0
x.a.h.f13.s64,0.0
x.a.h.asm.s128,0.0
x.a.h.con.s128,0.0
x.a.h.cor.s128,0.0
x.a.h.var.s128,0.0
x.a.h.idm.s128,0.0
x.a.h.sav.s128,0.0
x.a.h.sva.s128,0.0
x.a.h.sen.s128,0.0
x.a.h.ent.s128,0.0
x.a.h.dva.s128,0.0
x.a.h.den.s128,0.0
x.a.h.f12.s128,0.0
x.a.h.f13.s128,0.0
x.a.h.asm.s256,0.0
x.a.h.con.s256,0.0
x.a.h.cor.s256,0.0
x.a.h.var.s256,0.0
x.a.h.idm.s256,0.0
x.a.h.sav.s256,0.0
x.a.h.sva.s256,0.0
x.a.h.sen.s256,0.0
x.a.h.ent.s256,0.0
x.a.h.dva.s256,0.0
x.a.h.den.s256,0.0
x.a.h.f12.s256,0.0
x.a.h.f13.s256,0.0
x.b.b.mean,0.0006951077054274464
x.b.b.sd,0.003712642873522458
x.b.b.mad,0.0021837736700431624
x.b.b.q001,0.00010826284055946054
x.b.b.q005,0.00011762760802667284
x.b.b.q05,0.0001298714988984114
x.b.b.q095,0.0009737426907068473
x.b.b.q099,0.0002296442223607428
x.b.m.cx,8.116968681150713e-05
x.b.m.cy,0.00027064140475190946
x.b.m.majoraxis,0.0
x.b.m.eccentricity,0.00043404222705667217
x.b.m.theta,0.0
x.b.h.asm.s1,0.0
x.b.h.con.s1,0.0003048852918583748
x.b.h.cor.s1,0.00032758836273721924
x.b.h.var.s1,0.0011008507004838556
x.b.h.idm.s1,0.00013528860507565073
x.b.h.sav.s1,0.0007386853153968471
x.b.h.sva.s1,0.0
x.b.h.sen.s1,0.00048248685959250337
x.b.h.ent.s1,0.041798670318077324
x.b.h.dva.s1,0.00043951392413016583
x.b.h.den.s1,0.0015695701512084006
x.b.h.f12.s1,0.00010825656190076378
x.b.h.f13.s1,0.0005583892546657148
x.b.h.asm.s2,0.0001948207257941771
x.b.h.con.s2,0.0006393203726213787
x.b.h.cor.s2,0.0005146283412906588
x.b.h.var.s2,0.000982495535170452
x.b.h.idm.s2,0.01206033696826205
x.b.h.sav.s2,0.0005081421530972912
x.b.h.sva.s2,0.0
x.b.h.sen.s2,0.0016464032314163044
x.b.h.ent.s2,0.0
x.b.h.dva.s2,0.052599788004622464
x.b.h.den.s2,0.0
x.b.h.f12.s2,0.0
x.b.h.f13.s2,0.0
x.b.h.asm.s4,0.0004619329794285793
x.b.h.con.s4,0.0007134749651205296
x.b.h.cor.s4,0.0002495055998093795
x.b.h.var.s4,0.001474138364799159
x.b.h.idm.s4,0.003131603267984259
x.b.h.sav.s4,0.00041747298384466525
x.b.h.sva.s4,0.00047009782427623613
x.b.h.sen.s4,0.0005189818918591944
x.b.h.ent.s4,0.001123892662410148
x.b.h.dva.s4,0.0012123637101847259
x.b.h.den.s4,0.0008365052581365891
x.b.h.f12.s4,0.0002580493584308441
x.b.h.f13.s4,0.0005378525532459582
x.b.h.asm.s8,0.0002694900277806688
x.b.h.con.s8,0.0007860441604203586
x.b.h.cor.s8,0.0
x.b.h.var.s8,0.0
x.b.h.idm.s8,0.0
x.b.h.sav.s8,0.0
x.b.h.sva.s8,0.0
x.b.h.sen.s8,0.00016151598585451991
x.b.h.ent.s8,0.0008064022156128071
x.b.h.dva.s8,8.999580510549803e-06
x.b.h.den.s8,0.0
x.b.h.f12.s8,0.00015489652657794224
x.b.h.f13.s8,0.00045549663738734354
x.b.h.asm.s16,0.0
x.b.h.con.s16,0.0
x.b.h.cor.s16,2.5681904692326462e-05
x.b.h.var.s16,0.0
x.b.h.idm.s16,0.0
x.b.h.sav.s16,0.0005662564512449992
x.b.h.sva.s16,0.0
x.b.h.sen.s16,0.0
x.b.h.ent.s16,0.0
x.b.h.dva.s16,0.0
x.b.h.den.s16,0.0
x.b.h.f12.s16,0.0
x.b.h.f13.s16,0.0
x.b.h.asm.s32,0.0
x.b.h.con.s32,0.00016155283979857272
x.b.h.cor.s32,0.0
x.b.h.var.s32,0.0
x.b.h.idm.s32,0.000436369646870391
x.b.h.sav.s32,0.0
x.b.h.sva.s32,0.009009606773969905
x.b.h.sen.s32,0.0
x.b.h.ent.s32,0.0
x.b.h.dva.s32,0.0
x.b.h.den.s32,0.0
x.b.h.f12.s32,0.00019203649628813155
x.b.h.f13.s32,0.0
x.b.h.asm.s64,0.0
x.b.h.con.s64,0.0
x.b.h.cor.s64,0.0
x.b.h.var.s64,0.0
x.b.h.idm.s64,0.00019608890189819396
x.b.h.sav.s64,0.0
x.b.h.sva.s64,0.0
x.b.h.sen.s64,0.0
x.b.h.ent.s64,0.0
x.b.h.dva.s64,0.0
x.b.h.den.s64,0.0
x.b.h.f12.s64,0.0
x.b.h.f13.s64,0.0
x.b.h.asm.s128,0.0
x.b.h.con.s128,0.0
x.b.h.cor.s128,0.0
x.b.h.var.s128,0.0
x.b.h.idm.s128,0.0
x.b.h.sav.s128,0.0
x.b.h.sva.s128,0.0
x.b.h.sen.s128,0.0
x.b.h.ent.s128,0.0
x.b.h.dva.s128,0.0
x.b.h.den.s128,0.0
x.b.h.f12.s128,0.0
x.b.h.f13.s128,0.0
x.b.h.asm.s256,0.0
x.b.h.con.s256,0.0
x.b.h.cor.s256,0.0
x.b.h.var.s256,0.0
x.b.h.idm.s256,0.0
x.b.h.sav.s256,0.0
x.b.h.sva.s256,0.0
x.b.h.sen.s256,0.0
x.b.h.ent.s256,0.0
x.b.h.dva.s256,0.0
x.b.h.den.s256,0.0
x.b.h.f12.s256,0.0
x.b.h.f13.s256,0.0
x.c.b.mean,0.000295067824528942
x.c.b.sd,0.00016193758049479564
