,Importance
x.a.b.mean,0.001856733096115775
x.a.b.sd,0.0
x.a.b.mad,0.00034684134987248756
x.a.b.q001,0.10138933645018236
x.a.b.q005,0.023725678139815874
x.a.b.q05,0.0
x.a.b.q095,0.0012559963211412222
x.a.b.q099,0.0
x.a.m.cx,0.0
x.a.m.cy,3.3169253673230954e-05
x.a.m.majoraxis,0.0
x.a.m.eccentricity,0.00026327088938754236
x.a.m.theta,0.00018182156202941122
x.a.h.asm.s1,0.00018180736598677892
x.a.h.con.s1,0.0
x.a.h.cor.s1,0.015152020135472025
x.a.h.var.s1,0.0
x.a.h.idm.s1,0.012255390046181765
x.a.h.sav.s1,0.0004368346609096998
x.a.h.sva.s1,0.0
x.a.h.sen.s1,0.0
x.a.h.ent.s1,0.0
x.a.h.dva.s1,0.0001314467441478363
x.a.h.den.s1,0.004802224600197325
x.a.h.f12.s1,0.0
x.a.h.f13.s1,0.0011779409536380218
x.a.h.asm.s2,0.00020453328673512633
x.a.h.con.s2,0.0
x.a.h.cor.s2,0.005286200164778355
x.a.h.var.s2,0.0016477876350101677
x.a.h.idm.s2,0.022109023927215383
x.a.h.sav.s2,0.0
x.a.h.sva.s2,0.0019270878909109321
x.a.h.sen.s2,0.0
x.a.h.ent.s2,0.00024204190200332378
x.a.h.dva.s2,0.0
x.a.h.den.s2,0.0
x.a.h.f12.s2,0.05686593754324113
x.a.h.f13.s2,0.0023690283678475576
x.a.h.asm.s4,0.0002659258997594194
x.a.h.con.s4,0.0
x.a.h.cor.s4,0.0
x.a.h.var.s4,0.0004597923562326937
x.a.h.idm.s4,0.00023899536764651125
x.a.h.sav.s4,0.0001360301595922588
x.a.h.sva.s4,0.006767976446406998
x.a.h.sen.s4,0.0
x.a.h.ent.s4,0.0
x.a.h.dva.s4,0.0
x.a.h.den.s4,0.0
x.a.h.f12.s4,0.0003272240603739916
x.a.h.f13.s4,0.0
x.a.h.asm.s8,0.00044635401488725705
x.a.h.con.s8,0.0
x.a.h.cor.s8,0.0012211643514905579
x.a.h.var.s8,0.0004753229450186245
x.a.h.idm.s8,0.0
x.a.h.sav.s8,0.0030277625589543115
x.a.h.sva.s8,0.000879142580865446
x.a.h.sen.s8,0.0
x.a.h.ent.s8,0.0
x.a.h.dva.s8,0.0011542735654350956
x.a.h.den.s8,0.0
x.a.h.f12.s8,0.0
x.a.h.f13.s8,0.0
x.a.h.asm.s16,0.0002561304027198941
x.a.h.con.s16,0.0
x.a.h.cor.s16,0.0
x.a.h.var.s16,0.0
x.a.h.idm.s16,0.0
x.a.h.sav.s16,0.0
x.a.h.sva.s16,0.0
x.a.h.sen.s16,0.0
x.a.h.ent.s16,0.00036392728896496545
x.a.h.dva.s16,0.0
x.a.h.den.s16,0.0
x.a.h.f12.s16,0.0
x.a.h.f13.s16,0.0
x.a.h.asm.s32,0.0
x.a.h.con.s32,0.0
x.a.h.cor.s32,0.0
x.a.h.var.s32,0.0
x.a.h.idm.s32,0.0
x.a.h.sav.s32,0.0
x.a.h.sva.s32,0.00040915176774333864
x.a.h.sen.s32,0.0
x.a.h.ent.s32,1.5522653608923903e-05
x.a.h.dva.s32,0.0
x.a.h.den.s32,0.0
x.a.h.f12.s32,0.0
x.a.h.f13.s32,0.0
x.a.h.asm.s64,0.0
x.a.h.con.s64,0.0
x.a.h.cor.s64,0.0
x.a.h.var.s64,0.0
x.a.h.idm.s64,0.0
x.a.h.sav.s64,0.0
x.a.h.sva.s64,0.0
x.a.h.sen.s64,0.0
x.a.h.ent.s64,0.0
x.a.h.dva.s64,0.0
x.a.h.den.s64,0.0
x.a.h.f12.s64,0.0
x.a.h.f13.s64,0.0
x.a.h.asm.s128,0.0
x.a.h.con.s128,0.0
x.a.h.cor.s128,0.0
x.a.h.var.s128,0.0
x.a.h.idm.s128,0.0
x.a.h.sav.s128,0.0
x.a.h.sva.s128,0.0
x.a.h.sen.s128,0.0
x.a.h.ent.s128,0.0
x.a.h.dva.s128,0.0
x.a.h.den.s128,0.0
x.a.h.f12.s128,0.0
x.a.h.f13.s128,0.0
x.a.h.asm.s256,0.0
x.a.h.con.s256,0.0
x.a.h.cor.s256,0.0
x.a.h.var.s256,0.0
x.a.h.idm.s256,0.0
x.a.h.sav.s256,0.0
x.a.h.sva.s256,0.0
x.a.h.sen.s256,0.0
x.a.h.ent.s256,0.0
x.a.h.dva.s256,0.0
x.a.h.den.s256,0.0
x.a.h.f12.s256,0.0
x.a.h.f13.s256,0.0
x.c.b.mean,0.0008768679019725041
x.c.b.sd,0.0
x.c.b.mad,0.0027395781442437423
x.c.b.q001,0.00024238819286962333
x.c.b.q005,0.0007843372897843606
x.c.b.q05,0.00027077510676397245
x.c.b.q095,0.0032499450296389655
x.c.b.q099,0.00036675213174676576
x.c.m.cx,0.0
x.c.m.cy,0.0
x.c.m.majoraxis,0.0
x.c.m.eccentricity,0.0005336676859744638
x.c.m.theta,0.0
x.c.h.asm.s1,0.002422557332815023
x.c.h.con.s1,0.0
x.c.h.cor.s1,0.0018667513201433637
x.c.h.var.s1,0.0
x.c.h.idm.s1,0.0
x.c.h.sav.s1,0.05360198102051823
x.c.h.sva.s1,0.009029209098935242
x.c.h.sen.s1,0.00025295390464920417
x.c.h.ent.s1,0.0
x.c.h.dva.s1,0.0005192404223339918
x.c.h.den.s1,0.0017800791308068965
x.c.h.f12.s1,0.002611532354315719
x.c.h.f13.s1,0.006292375019620612
x.c.h.asm.s2,0.009404083780212935
x.c.h.con.s2,0.0017510328513442644
x.c.h.cor.s2,0.0034964524528756347
x.c.h.var.s2,0.0
x.c.h.idm.s2,0.0
x.c.h.sav.s2,0.0017673425233710838
x.c.h.sva.s2,0.0
x.c.h.sen.s2,0.00026980550829923194
x.c.h.ent.s2,0.00027051789595910244
x.c.h.dva.s2,0.0017738134192743702
x.c.h.den.s2,0.0
x.c.h.f12.s2,0.0
x.c.h.f13.s2,0.0001338172711197768
x.c.h.asm.s4,0.04864986947349484
x.c.h.con.s4,0.0048666062613602155
x.c.h.cor.s4,0.009715531676304467
x.c.h.var.s4,0.0007988103832030863
x.c.h.idm.s4,0.0025445862169057513
x.c.h.sav.s4,0.0
x.c.h.sva.s4,0.003390612028086879
x.c.h.sen.s4,0.007268476179282279
x.c.h.ent.s4,0.006808469130860579
x.c.h.dva.s4,0.002182413458285023
x.c.h.den.s4,0.0
x.c.h.f12.s4,0.0
x.c.h.f13.s4,0.005758839297155867
x.c.h.asm.s8,0.00026985321382414575
x.c.h.con.s8,0.0007891811117752537
x.c.h.cor.s8,0.0002567264922227361
x.c.h.var.s8,0.002312239094343361
x.c.h.idm.s8,0.0
x.c.h.sav.s8,0.0007844800326062964
x.c.h.sva.s8,0.053088029524484805
x.c.h.sen.s8,0.0
x.c.h.ent.s8,0.00103395439804937
x.c.h.dva.s8,0.0003272934150885165
x.c.h.den.s8,0.0001817911446522175
x.c.h.f12.s8,0.00013651083153428124
x.c.h.f13.s8,0.0
x.c.h.asm.s16,0.0005436879281530906
x.c.h.con.s16,0.0003105405568469696
x.c.h.cor.s16,0.0016510242798673338
x.c.h.var.s16,0.0
x.c.h.idm.s16,0.0
x.c.h.sav.s16,0.0
x.c.h.sva.s16,0.001752845924791302
x.c.h.sen.s16,0.0
x.c.h.ent.s16,0.0
x.c.h.dva.s16,0.0
x.c.h.den.s16,0.0007318941869527011
x.c.h.f12.s16,0.0
x.c.h.f13.s16,0.0
x.c.h.asm.s32,0.0
x.c.h.con.s32,0.0
x.c.h.cor.s32,0.0
x.c.h.var.s32,0.0
x.c.h.idm.s32,0.0
x.c.h.sav.s32,0.0002603731753509001
x.c.h.sva.s32,0.0008719525698214148
x.c.h.sen.s32,0.0
x.c.h.ent.s32,0.0
x.c.h.dva.s32,0.0
x.c.h.den.s32,0.0
x.c.h.f12.s32,0.0
x.c.h.f13.s32,0.0
x.c.h.asm.s64,0.0
x.c.h.con.s64,0.0
x.c.h.cor.s64,0.0
x.c.h.var.s64,0.0
x.c.h.idm.s64,0.0
x.c.h.sav.s64,0.0
x.c.h.sva.s64,0.0
x.c.h.sen.s64,0.0
x.c.h.ent.s64,0.0
x.c.h.dva.s64,0.0
x.c.h.den.s64,0.0
x.c.h.f12.s64,0.0
x.c.h.f13.s64,0.0
x.c.h.asm.s128,0.0
x.c.h.con.s128,0.0
x.c.h.cor.s128,0.0
x.c.h.var.s128,0.0
x.c.h.idm.s128,0.0
x.c.h.sav.s128,0.0
x.c.h.sva.s128,0.0
x.c.h.sen.s128,0.0
x.c.h.ent.s128,0.0
x.c.h.dva.s128,0.0
x.c.h.den.s128,0.0
x.c.h.f12.s128,0.0
x.c.h.f13.s128,0.0
x.c.h.asm.s256,0.0
x.c.h.con.s256,0.0
x.c.h.cor.s256,0.0
x.c.h.var.s256,0.0
x.c.h.idm.s256,0.0
x.c.h.sav.s256,0.0
x.c.h.sva.s256,0.0
x.c.h.sen.s256,0.0
x.c.h.ent.s256,0.0
x.c.h.dva.s256,0.0
x.c.h.den.s256,0.0
x.c.h.f12.s256,0.0
x.c.h.f13.s256,0.0
x.ac.b.mean,0.0002553884087584227
x.ac.b.sd,0.0004676089679771264
x.ac.b.mad,0.0002338314405260012
x.ac.b.q001,0.0
x.ac.b.q005,0.0
x.ac.b.q05,0.0004732425097695676
x.ac.b.q095,0.0002726755662618355
x.ac.b.q099,0.0
x.ac.m.cx,0.0005079689904666166
x.ac.m.cy,0.0010207348939490618
x.ac.m.majoraxis,0.0
x.ac.m.eccentricity,0.0035527257091116466
x.ac.m.theta,0.0
x.ac.h.asm.s1,0.0
x.ac.h.con.s1,0.0
x.ac.h.cor.s1,0.0
x.ac.h.var.s1,0.0
x.ac.h.idm.s1,0.0
x.ac.h.sav.s1,0.0
x.ac.h.sva.s1,0.0
x.ac.h.sen.s1,0.0
x.ac.h.ent.s1,0.0
x.ac.h.dva.s1,0.0
x.ac.h.den.s1,0.0
x.ac.h.f12.s1,0.0
x.ac.h.f13.s1,0.0
x.ac.h.asm.s2,0.0
x.ac.h.con.s2,0.0
x.ac.h.cor.s2,0.0
x.ac.h.var.s2,0.0
x.ac.h.idm.s2,0.0
x.ac.h.sav.s2,0.0
x.ac.h.sva.s2,0.0
x.ac.h.sen.s2,0.0
x.ac.h.ent.s2,0.0
x.ac.h.dva.s2,0.0
x.ac.h.den.s2,0.0
x.ac.h.f12.s2,0.0
x.ac.h.f13.s2,0.0
x.ac.h.asm.s4,0.0
x.ac.h.con.s4,0.0
x.ac.h.cor.s4,0.0
x.ac.h.var.s4,0.0
x.ac.h.idm.s4,0.0
x.ac.h.sav.s4,0.0
x.ac.h.sva.s4,0.0
x.ac.h.sen.s4,0.0
x.ac.h.ent.s4,0.0
x.ac.h.dva.s4,0.0
x.ac.h.den.s4,0.0
x.ac.h.f12.s4,0.0
x.ac.h.f13.s4,0.0
x.ac.h.asm.s8,0.0
x.ac.h.con.s8,0.0
x.ac.h.cor.s8,0.0
x.ac.h.var.s8,0.0
x.ac.h.idm.s8,0.0
x.ac.h.sav.s8,0.0
x.ac.h.sva.s8,0.0
x.ac.h.sen.s8,0.0
x.ac.h.ent.s8,0.0
x.ac.h.dva.s8,0.0
x.ac.h.den.s8,0.0
x.ac.h.f12.s8,0.0
x.ac.h.f13.s8,0.0
x.ac.h.asm.s16,0.0
x.ac.h.con.s16,0.0
x.ac.h.cor.s16,0.0
x.ac.h.var.s16,0.0
x.ac.h.idm.s16,0.0
x.ac.h.sav.s16,0.0
x.ac.h.sva.s16,0.0
x.ac.h.sen.s16,0.0
x.ac.h.ent.s16,0.0
x.ac.h.dva.s16,0.0
x.ac.h.den.s16,0.0
x.ac.h.f12.s16,0.0
x.ac.h.f13.s16,0.0
x.ac.h.asm.s32,0.0
x.ac.h.con.s32,0.0
x.ac.h.cor.s32,0.0
x.ac.h.var.s32,0.0
x.ac.h.idm.s32,0.0
x.ac.h.sav.s32,0.0
x.ac.h.sva.s32,0.0
x.ac.h.sen.s32,0.0
x.ac.h.ent.s32,0.0
x.ac.h.dva.s32,0.0
x.ac.h.den.s32,0.0
x.ac.h.f12.s32,0.0
x.ac.h.f13.s32,0.0
x.ac.h.asm.s64,0.0
x.ac.h.con.s64,0.0
x.ac.h.cor.s64,0.0
x.ac.h.var.s64,0.0
x.ac.h.idm.s64,0.0
x.ac.h.sav.s64,0.0
x.ac.h.sva.s64,0.0
x.ac.h.sen.s64,0.0
x.ac.h.ent.s64,0.0
x.ac.h.dva.s64,0.0
x.ac.h.den.s64,0.0
x.ac.h.f12.s64,0.0
x.ac.h.f13.s64,0.0
x.ac.h.asm.s128,0.0
x.ac.h.con.s128,0.0
x.ac.h.cor.s128,0.0
x.ac.h.var.s128,0.0
x.ac.h.idm.s128,0.0
x.ac.h.sav.s128,0.0
x.ac.h.sva.s128,0.0
x.ac.h.sen.s128,0.0
x.ac.h.ent.s128,0.0
x.ac.h.dva.s128,0.0
x.ac.h.den.s128,0.0
x.ac.h.f12.s128,0.0
x.ac.h.f13.s128,0.0
x.ac.h.asm.s256,0.0
x.ac.h.con.s256,0.0
x.ac.h.cor.s256,0.0
x.ac.h.var.s256,0.0
x.ac.h.idm.s256,0.0
x.ac.h.sav.s256,0.0
x.ac.h.sva.s256,0.0
x.ac.h.sen.s256,0.0
x.ac.h.ent.s256,0.0
x.ac.h.dva.s256,0.0
x.ac.h.den.s256,0.0
x.ac.h.f12.s256,0.0
x.ac.h.f13.s256,0.0
x.Ba.b.mean,0.0099402885996629
x.Ba.b.sd,0.0010440760958528755
x.Ba.b.mad,0.0
x.Ba.b.q001,0.0
x.Ba.b.q005,0.0
x.Ba.b.q05,0.0025455429479983144
x.Ba.b.q095,0.0
x.Ba.b.q099,0.0
x.Ba.m.cx,0.0
x.Ba.m.cy,6.751788492433331e-05
x.Ba.m.majoraxis,0.0002643740744836359
x.Ba.m.eccentricity,0.0004131616923914033
x.Ba.m.theta,0.0
x.Ba.h.asm.s1,0.0
x.Ba.h.con.s1,0.0001818688981868898
x.Ba.h.cor.s1,0.0
x.Ba.h.var.s1,0.0
x.Ba.h.idm.s1,0.018752874411065483
x.Ba.h.sav.s1,0.0007716113654428462
x.Ba.h.sva.s1,0.00425946627284776
x.Ba.h.sen.s1,0.00046569748003143696
x.Ba.h.ent.s1,0.00035546637048313373
x.Ba.h.dva.s1,0.0
x.Ba.h.den.s1,0.013071563903826222
x.Ba.h.f12.s1,0.001238853525757203
x.Ba.h.f13.s1,0.0002396275333329851
x.Ba.h.asm.s2,0.020227606075957145
x.Ba.h.con.s2,0.0
x.Ba.h.cor.s2,0.0017144612334951698
x.Ba.h.var.s2,0.0005670449925270145
x.Ba.h.idm.s2,0.0
x.Ba.h.sav.s2,0.0045736151685928
x.Ba.h.sva.s2,0.0004616672030897971
x.Ba.h.sen.s2,0.0009423948339565922
x.Ba.h.ent.s2,0.0
x.Ba.h.dva.s2,0.0014640559134825256
x.Ba.h.den.s2,0.014074288097800947
x.Ba.h.f12.s2,0.0
x.Ba.h.f13.s2,0.0044543020252772614
x.Ba.h.asm.s4,0.0002567560915579621
