,Importance
x.c.b.mean,0.00013668992352072992
x.c.b.sd,0.0007518738564578567
x.c.b.mad,0.0006129330726473951
x.c.b.q001,0.001753268402436532
x.c.b.q005,0.0008326981892247731
x.c.b.q05,0.008836036047896133
x.c.b.q095,0.00045452299875626547
x.c.b.q099,0.0005155182307747289
x.c.m.cx,0.0015502164495218317
x.c.m.cy,0.0014626540574995187
x.c.m.majoraxis,0.001223586106257079
x.c.m.eccentricity,0.00120933512930385
x.c.m.theta,0.0002181858744352934
x.c.h.asm.s1,0.002465076880528264
x.c.h.con.s1,0.0
x.c.h.cor.s1,0.017723587492750426
x.c.h.var.s1,0.0
x.c.h.idm.s1,0.0022023015263571027
x.c.h.sav.s1,0.0012037699552055233
x.c.h.sva.s1,0.0018888480359661047
x.c.h.sen.s1,0.01013182333191887
x.c.h.ent.s1,0.001900438880344009
x.c.h.dva.s1,6.083999229066046e-05
x.c.h.den.s1,0.0006545065175524043
x.c.h.f12.s1,0.0008605930453087678
x.c.h.f13.s1,0.13023609700070735
x.c.h.asm.s2,0.001043204447766339
x.c.h.con.s2,0.0008365039974473094
x.c.h.cor.s2,0.10967882365817531
x.c.h.var.s2,0.00018270151739346172
x.c.h.idm.s2,0.0
x.c.h.sav.s2,0.04851118821393731
x.c.h.sva.s2,0.0
x.c.h.sen.s2,0.0023822668059254965
x.c.h.ent.s2,0.0
x.c.h.dva.s2,0.0010058518342117742
x.c.h.den.s2,0.0005455678540342453
x.c.h.f12.s2,0.011208534205343904
x.c.h.f13.s2,0.05444605549462095
x.c.h.asm.s4,1.758267421009401e-05
x.c.h.con.s4,0.00020450363376145426
x.c.h.cor.s4,0.004740006300894428
x.c.h.var.s4,0.0008082454953281164
x.c.h.idm.s4,0.00020506392813210571
x.c.h.sav.s4,0.002396162676418949
x.c.h.sva.s4,0.0022469743017673083
x.c.h.sen.s4,0.0021195747415583724
x.c.h.ent.s4,0.0007622643744563163
x.c.h.dva.s4,0.0008110599507456875
x.c.h.den.s4,8.967923087012481e-05
x.c.h.f12.s4,0.002027304062953221
x.c.h.f13.s4,0.0
x.c.h.asm.s8,0.003223053435741611
x.c.h.con.s8,0.0011276192594325003
x.c.h.cor.s8,0.00026781565976401113
x.c.h.var.s8,0.0005200209522419648
x.c.h.idm.s8,0.0
x.c.h.sav.s8,0.000525960788858477
x.c.h.sva.s8,0.0002647108478461606
x.c.h.sen.s8,0.02101484929771983
x.c.h.ent.s8,5.0655677540035506e-05
x.c.h.dva.s8,0.0003759435898549205
x.c.h.den.s8,0.0005523959176759717
x.c.h.f12.s8,0.0010011791237574726
x.c.h.f13.s8,0.0023047290963859983
x.c.h.asm.s16,0.0004514591558167692
x.c.h.con.s16,0.001320114559370255
x.c.h.cor.s16,0.0003905426386306569
x.c.h.var.s16,0.000871584440453178
x.c.h.idm.s16,0.00018190543149530726
x.c.h.sav.s16,0.0004109596182958538
x.c.h.sva.s16,0.0023789102165452576
x.c.h.sen.s16,0.0007954693338786742
x.c.h.ent.s16,0.0006442160276531746
x.c.h.dva.s16,0.0005546350481453362
x.c.h.den.s16,0.010018880036228127
x.c.h.f12.s16,0.0007570518841148119
x.c.h.f13.s16,0.0004440715396101779
