,Importance
x.b.b.mean,0.0028590745145142425
x.b.b.sd,0.0
x.b.b.mad,0.0069722340633064425
x.b.b.q001,0.0007523550384583151
x.b.b.q005,0.0031785043189748534
x.b.b.q05,0.0036949103008602087
x.b.b.q095,0.0013498801758598878
x.b.b.q099,0.004952752395061504
x.b.m.cx,0.002452071776684522
x.b.m.cy,0.000822686973717339
x.b.m.majoraxis,0.0024489251252278617
x.b.m.eccentricity,0.0008905060868705225
x.b.m.theta,0.0010160454503008738
x.b.h.asm.s1,0.013124610566801847
x.b.h.con.s1,0.028579315611058042
x.b.h.cor.s1,5.966574631860777e-05
x.b.h.var.s1,0.0008863257477965363
x.b.h.idm.s1,0.0009519855625770878
x.b.h.sav.s1,0.017277564828083954
x.b.h.sva.s1,0.0006152801110648067
x.b.h.sen.s1,0.0010081342703338156
x.b.h.ent.s1,0.0003272532587762022
x.b.h.dva.s1,0.0015589342289791769
x.b.h.den.s1,0.000800822482074382
x.b.h.f12.s1,0.02240448048651274
x.b.h.f13.s1,0.0008572384777204053
x.b.h.asm.s2,0.002778133580294876
x.b.h.con.s2,0.0012375121708873898
x.b.h.cor.s2,0.00347329503506059
x.b.h.var.s2,0.0009726301564573069
x.b.h.idm.s2,0.014567827588054545
x.b.h.sav.s2,0.0028803250680354995
x.b.h.sva.s2,0.0016513450875561234
x.b.h.sen.s2,0.0030633411964998913
x.b.h.ent.s2,0.000592376074127881
x.b.h.dva.s2,0.0077352394815511346
x.b.h.den.s2,0.009292155915503955
x.b.h.f12.s2,0.008891822004896152
x.b.h.f13.s2,0.0027737196585781573
x.b.h.asm.s4,0.00023117989480039955
x.b.h.con.s4,0.0019974267057378974
x.b.h.cor.s4,0.025186471425195582
x.b.h.var.s4,0.000754374582930536
x.b.h.idm.s4,0.024241128967040122
x.b.h.sav.s4,0.0052237721246114355
x.b.h.sva.s4,0.009635132000144247
x.b.h.sen.s4,0.0005950059250476402
x.b.h.ent.s4,0.0002669000750083944
x.b.h.dva.s4,0.0002244833484112123
x.b.h.den.s4,0.00024778228733896707
x.b.h.f12.s4,0.001708578835420111
x.b.h.f13.s4,0.004214445442773876
x.b.h.asm.s8,0.0008730148806929449
x.b.h.con.s8,0.0011482326306917116
x.b.h.cor.s8,0.052952755345650936
x.b.h.var.s8,0.0005501991055369656
x.b.h.idm.s8,0.0001323987601886389
x.b.h.sav.s8,0.0015390014003146967
x.b.h.sva.s8,0.019316211377994847
x.b.h.sen.s8,0.00036248875454375176
x.b.h.ent.s8,0.000558811094791252
x.b.h.dva.s8,0.00025561172768395963
x.b.h.den.s8,0.0009796205707987642
x.b.h.f12.s8,0.0020095730920992637
x.b.h.f13.s8,0.0002272220363555259
x.b.h.asm.s16,0.0
x.b.h.con.s16,0.00031715717756779764
x.b.h.cor.s16,1.9913660317570222e-05
x.b.h.var.s16,0.0002272220363555259
x.b.h.idm.s16,0.000714413672091058
x.b.h.sav.s16,0.0
x.b.h.sva.s16,0.001364087837111071
x.b.h.sen.s16,0.0011291910272828037
x.b.h.ent.s16,0.0013718008032056514
x.b.h.dva.s16,0.005252603695264128
x.b.h.den.s16,0.0
x.b.h.f12.s16,0.0012225134157850834
x.b.h.f13.s16,0.0007693533463204031
x.b.h.asm.s32,0.00020465883683468442
x.b.h.con.s32,0.0021736911844679693
x.b.h.cor.s32,0.00021848564279756933
x.b.h.var.s32,0.0
x.b.h.idm.s32,0.0005203728564478797
x.b.h.sav.s32,0.0007995736517151242
x.b.h.sva.s32,0.0
x.b.h.sen.s32,0.0
x.b.h.ent.s32,0.0006661444493050512
x.b.h.dva.s32,2.789090273660808e-05
x.b.h.den.s32,0.0
x.b.h.f12.s32,0.0
x.b.h.f13.s32,0.00013635096198531466
x.b.h.asm.s64,0.0
x.b.h.con.s64,0.0
x.b.h.cor.s64,0.0
x.b.h.var.s64,0.0
x.b.h.idm.s64,0.0
x.b.h.sav.s64,0.0
x.b.h.sva.s64,0.0
x.b.h.sen.s64,0.0
x.b.h.ent.s64,0.0
x.b.h.dva.s64,0.0
x.b.h.den.s64,0.0
x.b.h.f12.s64,0.0
x.b.h.f13.s64,0.0
x.b.h.asm.s128,0.0
x.b.h.con.s128,0.0
x.b.h.cor.s128,0.0
x.b.h.var.s128,0.0
x.b.h.idm.s128,0.0
x.b.h.sav.s128,0.0
x.b.h.sva.s128,0.0
x.b.h.sen.s128,0.0
x.b.h.ent.s128,0.0
x.b.h.dva.s128,0.0
x.b.h.den.s128,0.0
x.b.h.f12.s128,0.0
x.b.h.f13.s128,0.0
x.b.h.asm.s256,0.0
x.b.h.con.s256,0.0
x.b.h.cor.s256,0.0
x.b.h.var.s256,0.0
x.b.h.idm.s256,0.0
x.b.h.sav.s256,0.0
x.b.h.sva.s256,0.0
x.b.h.sen.s256,0.0
x.b.h.ent.s256,0.0
x.b.h.dva.s256,0.0
x.b.h.den.s256,0.0
x.b.h.f12.s256,0.0
x.b.h.f13.s256,0.0
x.Bb.b.mean,0.011979338757944696
x.Bb.b.sd,0.0015829756307032528
x.Bb.b.mad,0.0007126447027084115
x.Bb.b.q001,0.02240193590598518
x.Bb.b.q005,0.012776297380753827
x.Bb.b.q05,0.0466112151146511
x.Bb.b.q095,0.04443233289187269
x.Bb.b.q099,0.0096730262018863
x.Bb.m.cx,0.0017848220784876616
x.Bb.m.cy,0.0028913545938543594
x.Bb.m.majoraxis,0.00045616332815671766
x.Bb.m.eccentricity,0.0002613927933958056
x.Bb.m.theta,0.0009019203492456003
x.Bb.h.asm.s1,0.049749468546574735
x.Bb.h.con.s1,0.010172104873859115
x.Bb.h.cor.s1,0.0015174470149881905
x.Bb.h.var.s1,0.0012498337544855174
x.Bb.h.idm.s1,0.0016405903699953962
x.Bb.h.sav.s1,0.0004161631291382274
x.Bb.h.sva.s1,0.008751815540295032
x.Bb.h.sen.s1,0.0008509588248238936
x.Bb.h.ent.s1,0.00130503467824042
x.Bb.h.dva.s1,0.02559633917682306
x.Bb.h.den.s1,0.012360051790434746
x.Bb.h.f12.s1,0.0009078253564321327
x.Bb.h.f13.s1,0.002155401022594576
x.Bb.h.asm.s2,0.07091954662349644
x.Bb.h.con.s2,0.01144300660976081
x.Bb.h.cor.s2,0.00018180736598677892
x.Bb.h.var.s2,0.0044589538362324235
x.Bb.h.idm.s2,0.0009904978359941588
x.Bb.h.sav.s2,0.00046753681836610454
x.Bb.h.sva.s2,0.00025957723244263175
x.Bb.h.sen.s2,0.00025322321511558443
x.Bb.h.ent.s2,0.00068944640265395
x.Bb.h.dva.s2,0.09409260972693745
x.Bb.h.den.s2,0.0039351146822203305
x.Bb.h.f12.s2,0.0005085251009431972
x.Bb.h.f13.s2,0.00034341275760289754
x.Bb.h.asm.s4,0.010664157255707175
x.Bb.h.con.s4,0.004002738493242236
x.Bb.h.cor.s4,0.000678276767547644
x.Bb.h.var.s4,0.023068232310938398
x.Bb.h.idm.s4,0.0006894598275185524
x.Bb.h.sav.s4,0.0023064054895138015
x.Bb.h.sva.s4,0.0
x.Bb.h.sen.s4,0.0018168041195938383
x.Bb.h.ent.s4,0.013108059528202782
x.Bb.h.dva.s4,0.053943581244571756
x.Bb.h.den.s4,0.005147609865255918
x.Bb.h.f12.s4,0.0017918689357261128
x.Bb.h.f13.s4,0.0005306682407355552
x.Bb.h.asm.s8,0.03454375874527719
x.Bb.h.con.s8,0.0011745127255626494
x.Bb.h.cor.s8,0.002033331259333751
x.Bb.h.var.s8,0.006476587304790738
x.Bb.h.idm.s8,0.0007131674923457114
x.Bb.h.sav.s8,0.0
x.Bb.h.sva.s8,0.00032329078597494534
x.Bb.h.sen.s8,0.00012931435438089353
x.Bb.h.ent.s8,0.005024137276905198
x.Bb.h.dva.s8,0.0011996868760787535
x.Bb.h.den.s8,0.001558150018382136
x.Bb.h.f12.s8,0.001532455410688998
x.Bb.h.f13.s8,0.0006135793289339159
x.Bb.h.asm.s16,0.0008082651581232036
x.Bb.h.con.s16,0.0010837711062436982
x.Bb.h.cor.s16,0.0010212778203409045
x.Bb.h.var.s16,0.00040945476738950027
x.Bb.h.idm.s16,0.0
x.Bb.h.sav.s16,0.0003760812329485661
x.Bb.h.sva.s16,0.001856962116930666
x.Bb.h.sen.s16,0.0
x.Bb.h.ent.s16,0.0010128081204922516
x.Bb.h.dva.s16,1.6907458834591204e-05
x.Bb.h.den.s16,0.0007425910835560243
x.Bb.h.f12.s16,0.0002923221573966313
x.Bb.h.f13.s16,0.001203233023088736
x.Bb.h.asm.s32,0.0
x.Bb.h.con.s32,0.00022758921124746813
x.Bb.h.cor.s32,0.0004298298060485744
x.Bb.h.var.s32,0.00013635552449008424
x.Bb.h.idm.s32,0.0
x.Bb.h.sav.s32,0.000260845318580602
x.Bb.h.sva.s32,0.0006333629254159782
x.Bb.h.sen.s32,0.0
x.Bb.h.ent.s32,0.0005457568982258251
x.Bb.h.dva.s32,0.0018725124325220347
x.Bb.h.den.s32,0.0
x.Bb.h.f12.s32,0.0
x.Bb.h.f13.s32,0.0
x.Bb.h.asm.s64,0.0
x.Bb.h.con.s64,0.0
x.Bb.h.cor.s64,0.0
x.Bb.h.var.s64,0.0
x.Bb.h.idm.s64,0.0
x.Bb.h.sav.s64,0.0
x.Bb.h.sva.s64,0.0
x.Bb.h.sen.s64,0.0
x.Bb.h.ent.s64,0.0
x.Bb.h.dva.s64,0.0
x.Bb.h.den.s64,0.0
x.Bb.h.f12.s64,0.0
x.Bb.h.f13.s64,0.0
x.Bb.h.asm.s128,0.0
x.Bb.h.con.s128,0.0
x.Bb.h.cor.s128,0.0
x.Bb.h.var.s128,0.0
x.Bb.h.idm.s128,0.0
x.Bb.h.sav.s128,0.0
x.Bb.h.sva.s128,0.0
x.Bb.h.sen.s128,0.0
x.Bb.h.ent.s128,0.0
x.Bb.h.dva.s128,0.0
x.Bb.h.den.s128,0.0
x.Bb.h.f12.s128,0.0
x.Bb.h.f13.s128,0.0
x.Bb.h.asm.s256,0.0
x.Bb.h.con.s256,0.0
x.Bb.h.cor.s256,0.0
x.Bb.h.var.s256,0.0
x.Bb.h.idm.s256,0.0
x.Bb.h.sav.s256,0.0
x.Bb.h.sva.s256,0.0
x.Bb.h.sen.s256,0.0
x.Bb.h.ent.s256,0.0
x.Bb.h.dva.s256,0.0
x.Bb.h.den.s256,0.0
x.Bb.h.f12.s256,0.0
x.Bb.h.f13.s256,0.0
