,Importance
x.a.b.mean,0.0032972998625334523
x.a.b.sd,0.010587445563392335
x.a.b.mad,0.015977439589396007
x.a.b.q001,0.08164046890911247
x.a.b.q005,0.08050449837684708
x.a.b.q05,0.01374059591309713
x.a.b.q095,0.006731943180017184
x.a.b.q099,0.00591332580939123
x.a.m.cx,0.002827052968304602
x.a.m.cy,0.0018142964863260501
x.a.m.majoraxis,0.01063331484234451
x.a.m.eccentricity,0.0006146746708594448
x.a.m.theta,0.0019563483161501877
x.a.h.asm.s1,0.0032121178457256753
x.a.h.con.s1,0.0011352888938540202
x.a.h.cor.s1,0.0011146766906843437
x.a.h.var.s1,0.039649407789372516
x.a.h.idm.s1,0.00033023939113662024
x.a.h.sav.s1,0.0
x.a.h.sva.s1,0.0015138632682017725
x.a.h.sen.s1,0.0009480520996916958
x.a.h.ent.s1,0.0004483248131868782
x.a.h.dva.s1,0.006349433694007205
x.a.h.den.s1,0.0015337892890397264
x.a.h.f12.s1,0.061644982864993224
x.a.h.f13.s1,0.008750270894822882
x.a.h.asm.s2,0.021660849275924456
x.a.h.con.s2,0.000727016221721521
x.a.h.cor.s2,0.05079051605049815
x.a.h.var.s2,0.03654234164828858
x.a.h.idm.s2,0.0013358847190723248
x.a.h.sav.s2,0.0007345569881916419
x.a.h.sva.s2,0.0
x.a.h.sen.s2,0.0010588532684600949
x.a.h.ent.s2,0.0001925780813740911
x.a.h.dva.s2,0.00030089047286799064
x.a.h.den.s2,0.0029372108858668803
x.a.h.f12.s2,0.0007640442527276669
x.a.h.f13.s2,0.0011951104044523849
x.a.h.asm.s4,0.00023310308291052834
x.a.h.con.s4,0.0
x.a.h.cor.s4,0.002754527369451234
x.a.h.var.s4,0.0
x.a.h.idm.s4,0.002500823445062284
x.a.h.sav.s4,0.0032886874184570045
x.a.h.sva.s4,0.0
x.a.h.sen.s4,0.0009971393852083199
x.a.h.ent.s4,0.00023310308291052834
x.a.h.dva.s4,0.00018690723732588967
x.a.h.den.s4,0.019248453557727578
x.a.h.f12.s4,0.03133791743346432
x.a.h.f13.s4,0.00017482731218289624
x.a.h.asm.s8,0.0
x.a.h.con.s8,0.0003915924661404434
x.a.h.cor.s8,0.0027208112973669514
x.a.h.var.s8,0.0017632362939658114
x.a.h.idm.s8,0.0
x.a.h.sav.s8,0.0003301834860479553
x.a.h.sva.s8,0.005880412319678203
x.a.h.sen.s8,0.000522325962821079
x.a.h.ent.s8,0.0033541040250155514
x.a.h.dva.s8,0.05407336313598907
x.a.h.den.s8,0.012394370509196014
x.a.h.f12.s8,0.0016805333864382834
x.a.h.f13.s8,0.0009302631116792096
x.a.h.asm.s16,0.0012798060905813793
x.a.h.con.s16,0.00029176855612311
x.a.h.cor.s16,0.0006016116330999666
x.a.h.var.s16,0.036397364575509475
x.a.h.idm.s16,0.022397858848088818
x.a.h.sav.s16,0.0
x.a.h.sva.s16,0.0
x.a.h.sen.s16,0.0012520051400402305
x.a.h.ent.s16,0.0
x.a.h.dva.s16,0.008350525977352582
x.a.h.den.s16,0.002009054905404774
x.a.h.f12.s16,0.002508929194686404
x.a.h.f13.s16,0.0009103195483846799
x.a.h.asm.s32,0.0016430279170458948
x.a.h.con.s32,0.004644491243586562
x.a.h.cor.s32,0.0003715824426904563
x.a.h.var.s32,0.005027018272377709
x.a.h.idm.s32,0.0
x.a.h.sav.s32,0.0001448381215965014
x.a.h.sva.s32,0.0007211626627544472
x.a.h.sen.s32,0.00042032038406897564
