# Accuracy of classifier for cell line (ROW) applied to validation data for cell line (COL) if trained only on DAPI
CLASSIFIER_DATA,D004T01,D007T01,D010T01,D013T01,D018T01,D019T01,D020T01,D020T02,D021T01,D022T01,D027T01,D030T01,D046T01,D054T01,D055T01
D004T01,0.906976744186,0.772464698331,0.489695780177,0.602339181287,0.76399026764,0.853440296205,0.775119617225,0.500707213579,0.806945863126,0.778959810875,0.647902869757,0.796599496222,0.74039580908,0.660994764398,0.719277108434
D007T01,0.893895348837,0.864890885751,0.55740922473,0.705263157895,0.832116788321,0.866399259488,0.824162679426,0.582743988685,0.886618998979,0.765957446809,0.748896247241,0.826826196474,0.821885913853,0.748691099476,0.807228915663
D010T01,0.515988372093,0.515725288832,0.744847890088,0.533918128655,0.529805352798,0.458809009565,0.590909090909,0.677510608204,0.58835546476,0.50768321513,0.604856512141,0.632241813602,0.727590221187,0.714659685864,0.692771084337
D013T01,0.706395348837,0.68998716303,0.615309126595,0.819298245614,0.739051094891,0.635606294354,0.692583732057,0.612446958982,0.61797752809,0.651891252955,0.700883002208,0.748740554156,0.685681024447,0.732984293194,0.757831325301
D018T01,0.920058139535,0.811296534018,0.509322865554,0.708771929825,0.910583941606,0.855908670164,0.782296650718,0.514851485149,0.909090909091,0.770685579196,0.688741721854,0.802896725441,0.826542491269,0.738219895288,0.806024096386
D019T01,0.899709302326,0.732991014121,0.473994111874,0.556725146199,0.743917274939,0.919160752854,0.815789473684,0.49504950495,0.950970377937,0.748817966903,0.596578366446,0.753778337531,0.724097788126,0.585078534031,0.630120481928
D020T01,0.88226744186,0.732028241335,0.505397448479,0.59649122807,0.737834549878,0.867633446467,0.83971291866,0.516265912306,0.93973442288,0.766548463357,0.651214128035,0.778337531486,0.818393480792,0.715968586387,0.772289156627
D020T02,0.46511627907,0.478177150193,0.632973503435,0.436842105263,0.442214111922,0.470225239124,0.544258373206,0.77369165488,0.536261491318,0.505910165485,0.541942604857,0.481738035264,0.616996507567,0.71335078534,0.643373493976
D021T01,0.906976744186,0.753209242619,0.483807654563,0.597076023392,0.820559610706,0.903424868868,0.807416267943,0.493635077793,0.97037793667,0.745271867612,0.636865342163,0.78274559194,0.790454016298,0.651832460733,0.714457831325
D022T01,0.863372093023,0.747432605905,0.542688910697,0.684795321637,0.790754257908,0.805307004011,0.824162679426,0.544554455446,0.807967313585,0.829787234043,0.720198675497,0.814861460957,0.74039580908,0.688481675393,0.757831325301
D027T01,0.760174418605,0.730423620026,0.574092247301,0.726315789474,0.734793187348,0.699475470534,0.80023923445,0.637906647808,0.737487231869,0.723404255319,0.80298013245,0.772040302267,0.749708963912,0.76832460733,0.80843373494
D030T01,0.890988372093,0.816110397946,0.53974484789,0.744444444444,0.825425790754,0.809626658439,0.832535885167,0.544554455446,0.861082737487,0.784869976359,0.76821192053,0.858942065491,0.845168800931,0.801047120419,0.844578313253
D046T01,0.74273255814,0.664634146341,0.512266928361,0.610526315789,0.717761557178,0.686207960506,0.744019138756,0.582743988685,0.818181818182,0.618794326241,0.637969094923,0.725440806045,0.892898719441,0.785340314136,0.877108433735
D054T01,0.725290697674,0.654685494223,0.608439646712,0.626315789474,0.650851581509,0.655661832768,0.757177033493,0.654879773692,0.732379979571,0.648936170213,0.67770419426,0.728589420655,0.832363213038,0.905759162304,0.885542168675
D055T01,0.797965116279,0.732028241335,0.569185475957,0.691812865497,0.822384428224,0.738043813638,0.801435406699,0.606789250354,0.795709908069,0.69621749409,0.710816777042,0.79282115869,0.885913853318,0.853403141361,0.925301204819
