# Accuracy of classifier for cell line (ROW) applied to validation data for cell line (COL) if trained only on FITC
CLASSIFIER_DATA,D004T01,D007T01,D010T01,D013T01,D018T01,D019T01,D020T01,D020T02,D021T01,D022T01,D027T01,D030T01,D046T01,D054T01,D055T01
D004T01,0.915697674419,0.81514762516,0.514229636899,0.63567251462,0.898418491484,0.935205183585,0.653110047847,0.545968882603,0.783452502554,0.609929078014,0.629690949227,0.738035264484,0.635622817229,0.693717277487,0.65421686747
D007T01,0.712209302326,0.930359435173,0.517173699706,0.683625730994,0.567518248175,0.589632829374,0.650717703349,0.51909476662,0.545454545455,0.641252955083,0.644591611479,0.784005037783,0.552968568102,0.552356020942,0.551807228916
D010T01,0.594476744186,0.608151476252,0.845927379784,0.605847953216,0.591240875912,0.600740512188,0.531100478469,0.523338048091,0.513789581205,0.550236406619,0.511037527594,0.579974811083,0.57625145518,0.543193717277,0.520481927711
D013T01,0.691860465116,0.706675224647,0.642787046124,0.862573099415,0.701946472019,0.62449861154,0.760765550239,0.625176803395,0.562819203269,0.646572104019,0.670529801325,0.710327455919,0.701979045402,0.684554973822,0.746987951807
D018T01,0.870639534884,0.572849807445,0.506378802748,0.563742690058,0.934914841849,0.928108608454,0.618421052632,0.572842998586,0.806945863126,0.559692671395,0.510485651214,0.579345088161,0.685681024447,0.722513089005,0.743373493976
D019T01,0.888081395349,0.737483953787,0.49558390579,0.663157894737,0.886253041363,0.951249614317,0.642344497608,0.557284299859,0.813074565884,0.621749408983,0.590507726269,0.700881612091,0.655413271246,0.666230366492,0.74578313253
D020T01,0.876453488372,0.846919127086,0.524043179588,0.783040935673,0.85097323601,0.870410367171,0.863636363636,0.671852899576,0.813074565884,0.76536643026,0.731236203091,0.839420654912,0.834691501746,0.835078534031,0.886746987952
D020T02,0.411337209302,0.354300385109,0.466143277723,0.507602339181,0.459245742092,0.470533785869,0.528708133971,0.809052333805,0.592441266599,0.54609929078,0.518763796909,0.452770780856,0.727590221187,0.67277486911,0.766265060241
D021T01,0.690406976744,0.509627727856,0.473012757605,0.520467836257,0.779197080292,0.762727553224,0.645933014354,0.622347949081,0.948927477017,0.615839243499,0.549668874172,0.571158690176,0.661233993015,0.664921465969,0.772289156627
D022T01,0.732558139535,0.707637997433,0.51324828263,0.808771929825,0.706204379562,0.745448935514,0.828947368421,0.690240452617,0.757916241062,0.816193853428,0.736203090508,0.768261964736,0.805587892899,0.799738219895,0.801204819277
D027T01,0.720930232558,0.716944801027,0.578017664377,0.721637426901,0.810218978102,0.641468682505,0.813397129187,0.66053748232,0.723186925434,0.752364066194,0.795805739514,0.810453400504,0.769499417928,0.812827225131,0.84578313253
D030T01,0.688953488372,0.765083440308,0.531894013739,0.797076023392,0.675182481752,0.596729404505,0.805023923445,0.63224893918,0.747701736466,0.737588652482,0.729580573951,0.877204030227,0.776484284051,0.759162303665,0.824096385542
D046T01,0.75,0.55487804878,0.512266928361,0.579532163743,0.730535279805,0.757482258562,0.718899521531,0.67468175389,0.786516853933,0.625886524823,0.618653421634,0.590680100756,0.905704307334,0.846858638743,0.897590361446
D054T01,0.706395348837,0.599486521181,0.494602551521,0.631578947368,0.825425790754,0.746683122493,0.665071770335,0.676096181047,0.760980592441,0.646572104019,0.613686534216,0.668765743073,0.866123399302,0.893979057592,0.9
D055T01,0.61773255814,0.529845956354,0.467124631992,0.547368421053,0.66301703163,0.630052452947,0.637559808612,0.656294200849,0.70582226762,0.579196217494,0.543598233996,0.556675062972,0.805587892899,0.700261780105,0.925301204819
