# Accuracy of classifier for cell line (ROW) applied to validation data for cell line (COL) with variable thresholds based on ROC optimization
CLASSIFIER_DATA,D004T01,D007T01,D010T01,D013T01,D018T01,D019T01,D020T01,D020T02,D021T01,D022T01,D027T01,D030T01,D046T01,D054T01,D055T01
D004T01,0.969476744186,0.888318356868,0.690873405299,0.787134502924,0.917883211679,0.953100894786,0.836124401914,0.712871287129,0.877425944842,0.765957446809,0.743929359823,0.857682619647,0.917345750873,0.853403141361,0.914457831325
D007T01,0.920058139535,0.972079589217,0.688910696762,0.792397660819,0.886253041363,0.889848812095,0.816985645933,0.637906647808,0.844739530133,0.798463356974,0.73289183223,0.845088161209,0.86263096624,0.821989528796,0.863855421687
D010T01,0.81976744186,0.768613607189,0.957801766438,0.77134502924,0.751824817518,0.766121567417,0.734449760766,0.756718528996,0.720122574055,0.729314420804,0.752759381898,0.814861460957,0.825378346915,0.824607329843,0.831325301205
D013T01,0.84011627907,0.873555840822,0.751717369971,0.93918128655,0.816909975669,0.828448009873,0.77033492823,0.61810466761,0.633299284985,0.751182033097,0.788079470199,0.849496221662,0.769499417928,0.753926701571,0.798795180723
D018T01,0.912790697674,0.82028241335,0.613346418057,0.804093567251,0.962895377129,0.957420549213,0.856459330144,0.715700141443,0.88253319714,0.770685579196,0.764900662252,0.872795969773,0.863795110594,0.833769633508,0.887951807229
D019T01,0.968023255814,0.910783055199,0.624141315015,0.746198830409,0.93795620438,0.987658130207,0.861244019139,0.644978783593,0.921348314607,0.786052009456,0.757726269316,0.848236775819,0.891734575087,0.853403141361,0.89156626506
D020T01,0.879360465116,0.829589216945,0.669283611384,0.807602339181,0.901459854015,0.903116322123,0.967703349282,0.81612446959,0.925434116445,0.849290780142,0.841611479029,0.952141057935,0.882421420256,0.900523560209,0.944578313253
D020T02,0.863372093023,0.754813863928,0.816486751717,0.727485380117,0.846107055961,0.854674483184,0.852870813397,0.966053748232,0.916241062308,0.806146572104,0.781456953642,0.862090680101,0.913853317811,0.942408376963,0.922891566265
D021T01,0.911337209302,0.815789473684,0.523061825319,0.712280701754,0.894160583942,0.918543659364,0.893540669856,0.821782178218,0.990806945863,0.805555555556,0.772075055188,0.871536523929,0.870779976717,0.846858638743,0.850602409639
D022T01,0.915697674419,0.840500641849,0.682041216879,0.840935672515,0.831508515815,0.895094106757,0.915071770335,0.820367751061,0.774259448417,0.918439716312,0.823951434879,0.944584382872,0.848661233993,0.893979057592,0.866265060241
D027T01,0.853197674419,0.763799743261,0.795878312071,0.829824561404,0.833941605839,0.830916383832,0.862440191388,0.831683168317,0.748723186925,0.8463356974,0.937637969095,0.945843828715,0.778812572759,0.897905759162,0.802409638554
D030T01,0.863372093023,0.778883183569,0.657507360157,0.829824561404,0.883819951338,0.844492440605,0.942583732057,0.835926449788,0.91215526047,0.875295508274,0.812362030905,0.984256926952,0.898719441211,0.909685863874,0.943373493976
D046T01,0.934593023256,0.880295250321,0.695780176644,0.799415204678,0.891119221411,0.914224004937,0.827751196172,0.831683168317,0.871297242084,0.812056737589,0.773178807947,0.874055415617,0.966239813737,0.90445026178,0.966265060241
D054T01,0.908430232558,0.843388960205,0.772325809617,0.766081871345,0.858880778589,0.887071891392,0.868421052632,0.917963224894,0.909090909091,0.831560283688,0.778697571744,0.905541561713,0.972060535506,0.988219895288,0.977108433735
D055T01,0.922965116279,0.848523748395,0.52208047105,0.765497076023,0.908759124088,0.914532551682,0.815789473684,0.834512022631,0.869254341164,0.775413711584,0.728476821192,0.86838790932,0.949941792782,0.918848167539,0.981927710843
