# Accuracy of classifier for cell line (ROW) applied to validation data for cell line (COL) if trained only on Actin_DAPI with variable thresholds based on ROC optimization
CLASSIFIER_DATA,D004T01,D007T01,D010T01,D013T01,D018T01,D019T01,D020T01,D020T02,D021T01,D022T01,D027T01,D030T01,D046T01,D054T01,D055T01
D004T01,0.973837209302,0.872272143774,0.581943081452,0.761403508772,0.858272506083,0.926257327985,0.834928229665,0.670438472419,0.863125638407,0.829787234043,0.765452538631,0.867128463476,0.92549476135,0.836387434555,0.901204819277
D007T01,0.841569767442,0.950256739409,0.647693817468,0.800584795322,0.821167883212,0.892317186054,0.781100478469,0.524752475248,0.85393258427,0.776004728132,0.754415011038,0.829345088161,0.837019790454,0.734293193717,0.838554216867
D010T01,0.770348837209,0.686456996149,0.933267909715,0.67485380117,0.702554744526,0.708423326134,0.708133971292,0.728429985856,0.747701736466,0.708628841608,0.711368653422,0.731108312343,0.839348079162,0.767015706806,0.818072289157
D013T01,0.822674418605,0.827663671374,0.702649656526,0.943859649123,0.801094890511,0.823819808701,0.726076555024,0.592644978784,0.636363636364,0.771276595745,0.731236203091,0.747481108312,0.720605355064,0.76832460733,0.778313253012
D018T01,0.922965116279,0.828626444159,0.691854759568,0.752046783626,0.940389294404,0.897562480716,0.836124401914,0.705799151344,0.890704800817,0.807919621749,0.774834437086,0.866498740554,0.870779976717,0.84554973822,0.895180722892
D019T01,0.957848837209,0.893132220796,0.598626104024,0.764912280702,0.889902676399,0.978710274607,0.916267942584,0.694483734088,0.920326864147,0.840425531915,0.776490066225,0.877204030227,0.881257275902,0.821989528796,0.884337349398
D020T01,0.837209302326,0.748716302953,0.720314033366,0.746783625731,0.764598540146,0.83400185128,0.944976076555,0.842998585573,0.935648621042,0.856973995272,0.818984547461,0.921284634761,0.844004656577,0.870418848168,0.865060240964
D020T02,0.835755813953,0.778241335045,0.815505397448,0.673099415205,0.713503649635,0.811786485653,0.825358851675,0.966053748232,0.864147088866,0.751182033097,0.718543046358,0.85201511335,0.897555296857,0.897905759162,0.88313253012
D021T01,0.845930232558,0.748716302953,0.58390578999,0.67134502924,0.828467153285,0.839247145943,0.873205741627,0.78783592645,0.985699693565,0.792553191489,0.753311258278,0.846347607053,0.846332945285,0.828534031414,0.840963855422
D022T01,0.886627906977,0.765083440308,0.648675171737,0.772514619883,0.804136253041,0.863622338784,0.901913875598,0.768033946252,0.785495403473,0.930260047281,0.794701986755,0.923803526448,0.837019790454,0.871727748691,0.855421686747
D027T01,0.776162790698,0.6986521181,0.761530912659,0.805847953216,0.781630170316,0.781240357914,0.888755980861,0.851485148515,0.85393258427,0.824468085106,0.92825607064,0.912468513854,0.76717112922,0.869109947644,0.802409638554
D030T01,0.960755813953,0.859435173299,0.706575073602,0.773684210526,0.840632603406,0.938599197778,0.935406698565,0.775106082037,0.934627170582,0.868203309693,0.826158940397,0.981108312343,0.922002328289,0.914921465969,0.931325301205
D046T01,0.898255813953,0.841142490372,0.629048086359,0.747953216374,0.831508515815,0.884294970688,0.833732057416,0.804809052334,0.924412665986,0.798463356974,0.740618101545,0.855793450882,0.967403958091,0.880890052356,0.963855421687
D054T01,0.872093023256,0.748074454429,0.724239450442,0.776608187135,0.787712895377,0.833076211046,0.874401913876,0.833097595474,0.835546475996,0.833924349882,0.76710816777,0.889798488665,0.95809080326,0.972513089005,0.973493975904
D055T01,0.918604651163,0.826700898588,0.595682041217,0.749122807018,0.833941605839,0.87226164764,0.833732057416,0.782178217822,0.875383043922,0.787825059102,0.742825607064,0.862720403023,0.939464493597,0.875654450262,0.984337349398
