# Accuracy of classifier for cell line (ROW) applied to validation data for cell line (COL) if trained only on DAPI with variable thresholds based on ROC optimization
CLASSIFIER_DATA,D004T01,D007T01,D010T01,D013T01,D018T01,D019T01,D020T01,D020T02,D021T01,D022T01,D027T01,D030T01,D046T01,D054T01,D055T01
D004T01,0.928779069767,0.835044929397,0.570166830226,0.730409356725,0.862530413625,0.88954026535,0.842105263158,0.66053748232,0.870275791624,0.815011820331,0.78587196468,0.859571788413,0.834691501746,0.791884816754,0.843373493976
D007T01,0.90261627907,0.873555840822,0.664376840039,0.746783625731,0.85097323601,0.867633446467,0.83971291866,0.687411598303,0.871297242084,0.780141843972,0.793598233996,0.849496221662,0.838183934808,0.781413612565,0.832530120482
D010T01,0.565406976744,0.524390243902,0.731108930324,0.556140350877,0.563868613139,0.515581610614,0.599282296651,0.697312588402,0.601634320735,0.531323877069,0.631898454746,0.626574307305,0.707799767171,0.708115183246,0.690361445783
D013T01,0.75726744186,0.715661103979,0.667320902846,0.833333333333,0.762165450122,0.694230175872,0.735645933014,0.663366336634,0.657814096016,0.709810874704,0.748344370861,0.778337531486,0.703143189756,0.744764397906,0.749397590361
D018T01,0.921511627907,0.849486521181,0.61923454367,0.767251461988,0.913625304136,0.880283863005,0.824162679426,0.626591230552,0.927477017365,0.793735224586,0.788631346578,0.853274559194,0.861466821886,0.773560209424,0.853012048193
D019T01,0.927325581395,0.832798459564,0.549558390579,0.712865497076,0.858880778589,0.921012033323,0.845693779904,0.595473833098,0.959141981614,0.78841607565,0.777593818985,0.836901763224,0.846332945285,0.761780104712,0.831325301205
D020T01,0.901162790698,0.801989730424,0.626104023553,0.708771929825,0.834549878345,0.88059240975,0.857655502392,0.656294200849,0.947906026558,0.794326241135,0.769315673289,0.821158690176,0.84167636787,0.770942408377,0.833734939759
D020T02,0.61773255814,0.586970474968,0.697742885182,0.538011695906,0.591849148418,0.595186670781,0.633971291866,0.789250353607,0.621041879469,0.61170212766,0.629690949227,0.598866498741,0.694994179278,0.73167539267,0.726506024096
D021T01,0.917151162791,0.82541720154,0.541707556428,0.702923976608,0.871654501217,0.912372724468,0.852870813397,0.602545968883,0.975485188968,0.794917257683,0.769315673289,0.859571788413,0.855646100116,0.791884816754,0.855421686747
D022T01,0.876453488372,0.786906290116,0.633954857704,0.73918128655,0.835766423358,0.832150570811,0.831339712919,0.644978783593,0.814096016343,0.836288416076,0.773730684327,0.849496221662,0.792782305006,0.780104712042,0.803614457831
D027T01,0.799418604651,0.763157894737,0.668302257115,0.743274853801,0.754866180049,0.736501079914,0.803827751196,0.710042432815,0.762002042901,0.750591016548,0.816225165563,0.796599496222,0.775320139697,0.793193717277,0.8
D030T01,0.90261627907,0.837612323492,0.643768400393,0.771929824561,0.853406326034,0.841715519901,0.840909090909,0.677510608204,0.869254341164,0.792553191489,0.799668874172,0.86838790932,0.850989522701,0.837696335079,0.850602409639
D046T01,0.844476744186,0.791399229782,0.653581943081,0.73567251462,0.816909975669,0.80654119099,0.826555023923,0.661951909477,0.870275791624,0.745862884161,0.770971302428,0.798488664987,0.90454016298,0.816753926702,0.873493975904
D054T01,0.806686046512,0.753530166881,0.683022571148,0.698245614035,0.728710462287,0.7701326751,0.794258373206,0.714285714286,0.798774259448,0.731087470449,0.770419426049,0.789672544081,0.844004656577,0.897905759162,0.893975903614
D055T01,0.876453488372,0.808408215661,0.662414131501,0.745029239766,0.82603406326,0.813020672632,0.826555023923,0.705799151344,0.830439223698,0.768321513002,0.772626931567,0.835012594458,0.88358556461,0.86780104712,0.928915662651
