# Thresholds for the optimal accuracy of classifier for cell line (ROW) applied to validation data for cell line (COL) with variable thresholds based on ROC optimization
CLASSIFIER_DATA,D004T01,D007T01,D010T01,D013T01,D018T01,D019T01,D020T01,D020T02,D021T01,D022T01,D027T01,D030T01,D046T01,D054T01,D055T01
D004T01,0.5,0.3,0.1,0.2,0.3,0.5,0.2,0.1,0.2,0.2,0.1,0.2,0.3,0.1,0.3
D007T01,0.2,0.6,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
D010T01,0.5,0.5,0.5,0.5,0.5,0.3,0.3,0.5,0.5,0.3,0.5,0.5,0.5,0.3,0.5
D013T01,0.5,0.5,0.3,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.3,0.5
D018T01,0.3,0.2,0.1,0.2,0.5,0.5,0.3,0.1,0.3,0.2,0.1,0.3,0.2,0.2,0.2
D019T01,0.3,0.2,0.1,0.1,0.3,0.5,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2
D020T01,0.3,0.2,0.1,0.3,0.3,0.3,0.6,0.2,0.3,0.3,0.3,0.5,0.3,0.3,0.3
D020T02,0.5,0.5,0.2,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.5,0.5,0.5,0.5
D021T01,0.3,0.2,0.2,0.1,0.2,0.3,0.3,0.2,0.5,0.2,0.2,0.3,0.2,0.2,0.2
D022T01,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5
D027T01,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5
D030T01,0.2,0.2,0.1,0.3,0.3,0.3,0.5,0.3,0.3,0.3,0.2,0.5,0.3,0.3,0.5
D046T01,0.3,0.3,0.1,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.6,0.2,0.5
D054T01,0.5,0.5,0.3,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.5,0.6,0.5,0.6
D055T01,0.3,0.2,0.1,0.2,0.3,0.5,0.2,0.2,0.2,0.2,0.1,0.2,0.5,0.3,0.5
