# Thresholds for the optimal accuracy of classifier for cell line (ROW) applied to validation data for cell line (COL) if trained only on Actin with variable thresholds based on ROC optimization
CLASSIFIER_DATA,D004T01,D007T01,D010T01,D013T01,D018T01,D019T01,D020T01,D020T02,D021T01,D022T01,D027T01,D030T01,D046T01,D054T01,D055T01
D004T01,0.6,0.3,0.1,0.5,0.2,0.5,0.2,0.1,0.3,0.2,0.1,0.2,0.5,0.1,0.5
D007T01,0.2,0.5,0.2,0.5,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.2
D010T01,0.3,0.5,0.5,0.5,0.5,0.5,0.3,0.3,0.5,0.3,0.5,0.5,0.3,0.3,0.3
D013T01,0.3,0.5,0.2,0.5,0.3,0.3,0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.2,0.2
D018T01,0.3,0.2,0.2,0.3,0.5,0.3,0.1,0.1,0.5,0.2,0.1,0.2,0.2,0.2,0.2
D019T01,0.3,0.5,0.1,0.3,0.2,0.5,0.2,0.1,0.3,0.3,0.1,0.2,0.5,0.3,0.5
D020T01,0.3,0.1,0.2,0.2,0.1,0.5,0.5,0.3,0.6,0.5,0.2,0.5,0.3,0.2,0.5
D020T02,0.6,0.3,0.3,0.3,0.1,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.6
D021T01,0.1,0.1,0.2,0.1,0.1,0.1,0.3,0.2,0.5,0.2,0.2,0.3,0.3,0.3,0.2
D022T01,0.3,0.5,0.5,0.3,0.3,0.5,0.6,0.5,0.6,0.5,0.2,0.6,0.5,0.5,0.6
D027T01,0.3,0.3,0.3,0.3,0.2,0.3,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.6
D030T01,0.5,0.2,0.1,0.2,0.1,0.3,0.6,0.5,0.6,0.5,0.2,0.5,0.3,0.3,0.5
D046T01,0.5,0.3,0.1,0.2,0.3,0.3,0.3,0.2,0.3,0.2,0.1,0.2,0.6,0.2,0.5
D054T01,0.3,0.5,0.1,0.2,0.5,0.3,0.5,0.2,0.7,0.5,0.2,0.5,0.6,0.5,0.5
D055T01,0.3,0.2,0.1,0.2,0.5,0.3,0.2,0.1,0.3,0.1,0.1,0.1,0.5,0.2,0.5
