Product.Name,Concentration,Plate.ID,Well.ID,Num.Objects,Percent.Dead,Percent.Live,Mean.Certainty.Live,Mean.Certainty.Dead
Linifanib (ABT-869),nan,D055T01P007L02,A01,108,0.05555555555555555,0.9444444444444444,0.9098039215686273,0.6666666666666666
Y-27632 2HCl,nan,D055T01P007L02,A02,134,0.007462686567164179,0.9925373134328358,0.9428571428571428,0.8
Cediranib (AZD2171),nan,D055T01P007L02,A03,138,0.014492753623188406,0.9855072463768116,0.9191176470588238,0.8500000000000001
Avagacestat (BMS-708163),nan,D055T01P007L02,A04,148,0.04054054054054054,0.9594594594594594,0.880985915492958,0.7166666666666667
Motesanib Diphosphate (AMG-706),nan,D055T01P007L02,A05,125,0.024,0.976,0.936065573770492,0.6666666666666666
TWS119,nan,D055T01P007L02,A06,132,0.022727272727272728,0.9772727272727273,0.9271317829457367,0.7000000000000001
Sunitinib Malate,nan,D055T01P007L02,A07,125,0.016,0.984,0.9569105691056914,0.7
AZ 960,nan,D055T01P007L02,A08,104,0.08653846153846154,0.9134615384615384,0.8610526315789472,0.7000000000000001
SL-327,nan,D055T01P007L02,A09,151,0.11258278145695365,0.8874172185430463,0.9074626865671648,0.6764705882352939
MK-0752,nan,D055T01P007L02,A10,131,0.022900763358778626,0.9770992366412213,0.8976562500000002,0.7999999999999999
SU11274,nan,D055T01P007L02,A11,148,0.033783783783783786,0.9662162162162162,0.9328671328671333,0.64
CHIR-98014,nan,D055T01P007L02,A12,83,0.7108433734939759,0.28915662650602414,0.6749999999999999,0.7830508474576272
Vatalanib (PTK787) 2HCl,nan,D055T01P007L02,A13,133,0.022556390977443608,0.9774436090225564,0.9415384615384618,0.6999999999999998
WHI-P154,nan,D055T01P007L02,A14,99,0.0,1.0,0.9565656565656568,
Foretinib (GSK1363089),nan,D055T01P007L02,A15,116,0.10344827586206896,0.896551724137931,0.8480769230769233,0.6916666666666665
IWR-1-endo,nan,D055T01P007L02,A16,138,0.021739130434782608,0.9782608695652174,0.9496296296296299,0.7666666666666666
AT9283,nan,D055T01P007L02,A17,76,0.8552631578947368,0.14473684210526316,0.6545454545454544,0.8876923076923077
BIO,nan,D055T01P007L02,A18,139,0.007194244604316547,0.9928057553956835,0.9159420289855076,0.7
Lenvatinib (E7080),nan,D055T01P007L02,A19,141,0.014184397163120567,0.9858156028368794,0.9388489208633097,0.7
K02288,nan,D055T01P007L02,A20,156,0.019230769230769232,0.9807692307692307,0.9437908496732033,0.6
WZ8040,nan,D055T01P007L02,A21,127,0.023622047244094488,0.9763779527559056,0.9250000000000004,0.6666666666666666
Filgotinib (GLPG0634),nan,D055T01P007L02,A22,135,0.044444444444444446,0.9555555555555556,0.9131782945736436,0.6333333333333333
DMSO,nan,D055T01P007L02,A23,132,0.05303030303030303,0.946969696969697,0.9264000000000004,0.7285714285714286
DMSO,nan,D055T01P007L02,A24,127,0.0,1.0,0.9425196850393703,
AG-1024,nan,D055T01P007L02,B01,145,0.020689655172413793,0.9793103448275862,0.9035211267605636,0.6666666666666666
