		1. Replikat	2. Replikat	3. Replikat	4. Replikat	MW	St.err. 		
									
		MW UBC	MW UBC	MW UBC	MW UBC				
P019	DMSO	13,90757193	13,15423603	14,32654651	14,25082393				
	0,004然 Trametinib	14,09848893	13,21551393	14,28731955	14,38761322				
	0,02然 Trametinib	13,50100995	14,07988373	15,19428933	14,10998634				
	0,1然 Trametinib	13,5890119	13,50146544	15,16291313	14,14920599				
	0,5然 Trametinib	14,06752137	14,17080318	15,27263992	14,03627225				
	2,5然 Trametinib	14,15397471	13,11141065	15,45413567	14,12668104				
									
D027	DMSO		13,39302043	14,57285473	13,63439616				
	0,004然 Trametinib		14,21745615	14,88129027	13,85738692				
	0,02然 Trametinib		14,6484782	14,88757286	13,5866962				
	0,1然 Trametinib		13,2799247	14,71787467	13,57360697				
	0,5然 Trametinib		14,39248674	15,43334982	14,31441672				
	2,5然 Trametinib		15,01703392	15,63476227	14,34031579				
									
									
									
		MW LGR5	MW LGR5	MW LGR5	MW LGR5				
D019	DMSO	20,61507843	19,31488368	20,38927413	20,04040785				
	0,004然 Trametinib	19,78412646	18,95798532	20,16246445	19,65625305				
	0,02然 Trametinib	19,29972985	19,0362616	20,26652716	19,5674759				
	0,1然 Trametinib	19,38835144	18,27161104	19,75356546	19,44197001				
	0,5然 Trametinib	19,50046269	19,0684048	20,16569615	19,89412495				
	2,5然 Trametinib	19,48503581	18,05129381	20,30278493	19,28498681				
									
D027	DMSO		20,12659713	21,30000942	20,49612461				
	0,004然 Trametinib		20,10819518	21,03950781	19,48885583				
	0,02然 Trametinib		20,20823242	20,61980301	19,43927206				
	0,1然 Trametinib		18,78071844	21,13458997	19,64360814				
	0,5然 Trametinib		20,17134185	21,99295236	20,17365117				
	2,5然 Trametinib		20,46021339	22,2745747	20,22919054				
									
									
dCT									
D019	DMSO	6,707506501	6,160647646	6,062727614	5,789583922				
	0,004然 Trametinib	5,685637521	5,742471394	5,875144902	5,26863983				
	0,02然 Trametinib	5,798719902	4,956377871	5,072237826	5,457489556				
	0,1然 Trametinib	5,799339538	4,770145597	4,590652337	5,292764024				
	0,5然 Trametinib	5,432941318	4,897601617	4,893056228	5,857852698				
	2,5然 Trametinib	5,331061106	4,93988316	4,84864926	5,158305765				
									
D027	DMSO		6,733576697	6,727154689	6,86172845				
	0,004然 Trametinib		5,89073903	6,158217541	5,631468911				
	0,02然 Trametinib		5,559754214	5,732230156	5,852575857				
	0,1然 Trametinib		5,500793734	6,4167153	6,070001167				
	0,5然 Trametinib		5,778855111	6,559602542	5,85923445				
	2,5然 Trametinib		5,443179471	6,639812435	5,888874748				
									
									
ddCT									
D019	DMSO	0	0	0	0				
	0,004然 Trametinib	-1,02186898	-0,418176252	-0,187582712	-0,520944092				
	0,02然 Trametinib	-0,9087866	-1,204269775	-0,990489788	-0,332094365				
	0,1然 Trametinib	-0,908166963	-1,390502049	-1,472075277	-0,496819898				
	0,5然 Trametinib	-1,274565184	-1,263046029	-1,169671386	0,068268777				
	2,5然 Trametinib	-1,376445396	-1,220764486	-1,214078354	-0,631278157				
									
D027	DMSO		0	0	0				
	0,004然 Trametinib		-0,842837667	-0,568937148	-1,23025954				
	0,02然 Trametinib		-1,173822483	-0,994924533	-1,009152593				
	0,1然 Trametinib		-1,232782963	-0,310439389	-0,791727283				
	0,5然 Trametinib		-0,954721587	-0,167552147	-1,002494				
	2,5然 Trametinib		-1,290397226	-0,087342254	-0,972853702				
									
									
2^-x									
D019	DMSO	1	1	1	1	1	0		
	0,004然 Trametinib	2,030547787	1,336237315	1,138853925	1,434893927	1,485133238	0,191937572		
	0,02然 Trametinib	1,877465763	2,304206117	1,986859406	1,25883951	1,856842699	0,218912368		
	0,1然 Trametinib	1,876659566	2,621698985	2,774206687	1,411099675	2,170916228	0,320295781		
	0,5然 Trametinib	2,419258924	2,400019336	2,249604501	0,953781843	2,005666151	0,352673117		
	2,5然 Trametinib	2,596278946	2,330701889	2,319925302	1,548936668	2,198960701	0,225902119		
									
D027	DMSO		1	1	1	1	0		
	0,004然 Trametinib		1,793574494	1,483430306	2,346091921	1,874365573	0,25228401		
	0,02然 Trametinib		2,256086657	1,992976271	2,012728521	2,087263816	0,084603785		
	0,1然 Trametinib		2,35019907	1,240085325	1,731145856	1,773810084	0,321171454		
	0,5然 Trametinib		1,93820556	1,123151191	2,003460409	1,688272387	0,283187819		
	2,5然 Trametinib		2,445953923	1,062411195	1,962719086	1,823694735	0,405398342		
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
