Product.Name;Well_ID_384;Row_ID_384;Col_ID_384;Target;Pathway;concentration;Library_ID
Linifanib (ABT-869);A01;A;1;PDGFR, VEGFR;Protein Tyrosine Kinase;NA;2
Y-27632 2HCl;A02;A;2;ROCK;Others;NA;2
Cediranib (AZD2171);A03;A;3;VEGFR, Flt;Protein Tyrosine Kinase;NA;2
Avagacestat (BMS-708163);A04;A;4;Gamma-secretase;Proteases;NA;2
Motesanib Diphosphate (AMG-706);A05;A;5;VEGFR, PDGFR, c-Kit;Protein Tyrosine Kinase;NA;2
TWS119;A06;A;6;GSK-3;PI3K/Akt/mTOR;NA;2
Sunitinib Malate;A07;A;7;VEGFR, PDGFR, c-Kit, Flt;Microbiology;NA;2
AZ 960;A08;A;8;JAK;JAK/STAT;NA;2
SL-327;A09;A;9;MEK;Others;NA;2
MK-0752;A10;A;10;Gamma-secretase;Proteases;NA;2
SU11274;A11;A;11;c-Met;Neuronal Signaling;NA;2
CHIR-98014;A12;A;12;GSK-3;PI3K/Akt/mTOR;NA;2
Vatalanib (PTK787) 2HCl;A13;A;13;VEGFR, c-Kit, Flt;Others;NA;2
WHI-P154;A14;A;14;JAK, EGFR;JAK/STAT;NA;2
Foretinib (GSK1363089);A15;A;15;c-Met, VEGFR;Others;NA;2
IWR-1-endo;A16;A;16;Wnt/beta-catenin;Stem Cells &  Wnt;NA;2
AT9283;A17;A;17;Bcr-Abl, JAK, Aurora Kinase;Others;NA;2
BIO;A18;A;18;GSK-3;PI3K/Akt/mTOR;NA;2
Lenvatinib (E7080);A19;A;19;VEGFR;Protein Tyrosine Kinase;NA;2
K02288;A20;A;20;TGF-beta/Smad;TGF-beta/Smad;NA;2
WZ8040;A21;A;21;EGFR;Protein Tyrosine Kinase;NA;2
Filgotinib (GLPG0634);A22;A;22;JAK;JAK/STAT;NA;2
DMSO;A23;A;23;NA;NA;NA;2
DMSO;A24;A;24;NA;NA;NA;2
AG-1024;B01;B;1;IGF-1R;Protein Tyrosine Kinase;NA;2
GNF-5;B02;B;2;Bcr-Abl;Angiogenesis;NA;2
BX-912;B03;B;3;PDK-1;PI3K/Akt/mTOR;NA;2
DMSO;B04;B;4;NA;NA;NA;2
Aurora A Inhibitor I;B05;B;5;Aurora Kinase;Cell Cycle;NA;2
VX-11e;B06;B;6;ERK;MAPK;NA;2
Pimasertib (AS-703026);B07;B;7;MEK;MAPK;NA;2
DMSO;B08;B;8;NA;NA;NA;2
Quizartinib (AC220);B09;B;9;Flt;Angiogenesis;NA;2
LJI308;B10;B;10;S6 Kinase;PI3K/Akt/mTOR;NA;2
PHT-427;B11;B;11;Akt, PDK-1;PI3K/Akt/mTOR;NA;2
DMSO;B12;B;12;NA;NA;NA;2
BIRB 796 (Doramapimod);B13;B;13;p38 MAPK;MAPK;NA;2
VE-821;B14;B;14;ATM/ATR;DNA Damage;NA;2
AZD8330;B15;B;15;MEK;MAPK;NA;2
DMSO;B16;B;16;NA;NA;NA;2
GSK461364;B17;B;17;PLK;Cell Cycle;NA;2
BMS-582949;B18;B;18;p38 MAPK;MAPK;NA;2
Mubritinib (TAK 165);B19;B;19;HER2;Protein Tyrosine Kinase;NA;2
DMSO;B20;B;20;NA;NA;NA;2
Volasertib (BI 6727);B21;B;21;PLK;Cell Cycle;NA;2
DMSO;B22;B;22;NA;NA;NA;2
DMSO;B23;B;23;NA;NA;NA;2
DMSO;B24;B;24;NA;NA;NA;2
Axitinib;C01;C;1;VEGFR, PDGFR, c-Kit;Protein Tyrosine Kinase;NA;2
Enzastaurin (LY317615);C02;C;2;PKC;Neuronal Signaling;NA;2
Dovitinib (TKI-258, CHIR-258);C03;C;3;c-Kit, FGFR, Flt, VEGFR, PDGFR;Angiogenesis;NA;2
Ruxolitinib (INCB018424);C04;C;4;JAK;JAK/STAT;NA;2
Nilotinib (AMN-107);C05;C;5;Bcr-Abl;Angiogenesis;NA;2
