Catalog.Number;Product.Name;concentration;group;line;Row_ID_384;Col_ID_384;Well_ID_384
NA;Staurosporine_50nM;NA;PosCTRL;black;A;1;A01
NA;Staurosporine_5nM;NA;PosCTRL;white;A;2;A02
NA;Gefitinib_3uM;NA;drug;black;A;3;A03
NA;DMSO_0.1%;NA;NegCTRL;white;A;4;A04
NA;Staurosporine_500nM;NA;PosCTRL;black;A;5;A05
NA;LGK-974_0.1uM;NA;drug;white;A;6;A06
NA;Staurosporine_50nM;NA;PosCTRL;black;A;7;A07
NA;Staurosporine_50nM;NA;PosCTRL;white;A;8;A08
NA;Staurosporine_5nM;NA;PosCTRL;black;A;9;A09
NA;DMSO_0.1%;NA;NegCTRL;white;A;10;A10
NA;DMSO_0.1%;NA;NegCTRL;black;A;11;A11
NA;DMSO_0.1%;NA;NegCTRL;white;A;12;A12
NA;DMSO_0.1%;NA;NegCTRL;black;A;13;A13
NA;Staurosporine_50nM;NA;PosCTRL;white;A;14;A14
NA;LGK-974_1uM;NA;drug;black;A;15;A15
NA;Gefitinib_3uM;NA;drug;white;A;16;A16
NA;LGK-974_1uM;NA;drug;black;A;17;A17
NA;LGK-974_1uM;NA;drug;white;A;18;A18
NA;DMSO_0.1%;NA;NegCTRL;black;A;19;A19
NA;DMSO_0.1%;NA;NegCTRL;white;A;20;A20
NA;Staurosporine_50nM;NA;PosCTRL;black;A;21;A21
NA;Gefitinib_0.3uM;NA;drug;white;A;22;A22
NA;Staurosporine_500nM;NA;PosCTRL;black;A;23;A23
NA;Staurosporine_5nM;NA;PosCTRL;white;A;24;A24
NA;Gefitinib_0.3uM;NA;drug;white;B;1;B01
NA;Gefitinib_0.3uM;NA;drug;black;B;2;B02
NA;Gefitinib_3uM;NA;drug;white;B;3;B03
NA;DMSO_0.1%;NA;NegCTRL;black;B;4;B04
NA;Staurosporine_500nM;NA;PosCTRL;white;B;5;B05
NA;Staurosporine_500nM;NA;PosCTRL;black;B;6;B06
NA;LGK-974_0.1uM;NA;drug;white;B;7;B07
NA;LGK-974_0.1uM;NA;drug;black;B;8;B08
NA;Staurosporine_500nM;NA;PosCTRL;white;B;9;B09
NA;Gefitinib_3uM;NA;drug;black;B;10;B10
NA;Staurosporine_500nM;NA;PosCTRL;white;B;11;B11
NA;Staurosporine_5nM;NA;PosCTRL;black;B;12;B12
NA;LGK-974_1uM;NA;drug;white;B;13;B13
NA;Gefitinib_3uM;NA;drug;black;B;14;B14
NA;Staurosporine_50nM;NA;PosCTRL;white;B;15;B15
NA;LGK-974_0.1uM;NA;drug;black;B;16;B16
NA;Gefitinib_0.3uM;NA;drug;white;B;17;B17
NA;LGK-974_1uM;NA;drug;black;B;18;B18
NA;Staurosporine_50nM;NA;PosCTRL;white;B;19;B19
NA;Staurosporine_5nM;NA;PosCTRL;black;B;20;B20
NA;Gefitinib_0.3uM;NA;drug;white;B;21;B21
NA;LGK-974_1uM;NA;drug;black;B;22;B22
NA;Staurosporine_500nM;NA;PosCTRL;white;B;23;B23
NA;LGK-974_1uM;NA;drug;black;B;24;B24
NA;Staurosporine_50nM;NA;PosCTRL;black;C;1;C01
NA;Staurosporine_500nM;NA;PosCTRL;white;C;2;C02
NA;Staurosporine_500nM;NA;PosCTRL;black;C;3;C03
NA;Staurosporine_5nM;NA;PosCTRL;white;C;4;C04
NA;LGK-974_0.1uM;NA;drug;black;C;5;C05
NA;Staurosporine_50nM;NA;PosCTRL;white;C;6;C06
NA;Gefitinib_3uM;NA;drug;black;C;7;C07
NA;Gefitinib_0.3uM;NA;drug;white;C;8;C08
NA;LGK-974_0.1uM;NA;drug;black;C;9;C09
NA;DMSO_0.1%;NA;NegCTRL;white;C;10;C10
NA;Gefitinib_3uM;NA;drug;black;C;11;C11
NA;DMSO_0.1%;NA;NegCTRL;white;C;12;C12
NA;Staurosporine_500nM;NA;PosCTRL;black;C;13;C13
NA;LGK-974_1uM;NA;drug;white;C;14;C14
NA;Gefitinib_3uM;NA;drug;black;C;15;C15
