Catalog Number;Product.Name;concentration;group;line;Row;Col;Well_ID_384
NA;Bleomycin;9;drug;black;A;1;A01
NA;DMSO;NA;NegCTRL;white;A;2;A02
NA;Irinotecan;9;drug;black;A;3;A03
NA;FOLFIRI;9;drug;white;A;4;A04
NA;Sunitinib;1;drug;black;A;5;A05
NA;Bleomycin;9;drug;white;A;6;A06
NA;Cetuximab;-9;drug;black;A;7;A07
NA;H2O;NA;NegCTRL;white;A;8;A08
NA;Dabrafenib_Trametinib;3;drug;black;A;9;A09
NA;Crizotinib;1;drug;white;A;10;A10
NA;Gemcitabine;9;drug;black;A;11;A11
NA;Vismodegib;1;drug;white;A;12;A12
NA;FOLFIRI;9;drug;black;A;13;A13
NA;FOLFIRI;1;drug;white;A;14;A14
NA;Olaparib;-3;drug;black;A;15;A15
NA;Irinotecan;1;drug;white;A;16;A16
NA;Trastuzumab;3;drug;black;A;17;A17
NA;5-FU;3;drug;white;A;18;A18
NA;FOLFIRI;3;drug;black;A;19;A19
NA;Gemcitabine;-9;drug;white;A;20;A20
NA;H2O;NA;NegCTRL;black;A;21;A21
NA;Paclitaxel;-3;drug;white;A;22;A22
NA;Everolimus;9;drug;black;A;23;A23
NA;Gemcitabine;9;drug;white;A;24;A24
NA;Dabrafenib_Trametinib;1;drug;white;B;1;B01
NA;Gefitinib;-3;drug;black;B;2;B02
NA;Crizotinib;3;drug;white;B;3;B03
NA;H2O;NA;NegCTRL;black;B;4;B04
NA;Vismodegib;3;drug;white;B;5;B05
NA;Gemcitabine;1;drug;black;B;6;B06
NA;Irinotecan;-3;drug;white;B;7;B07
NA;Irinotecan;-3;drug;black;B;8;B08
NA;Crizotinib;-9;drug;white;B;9;B09
NA;Sunitinib;3;drug;black;B;10;B10
NA;Cetuximab;-3;drug;white;B;11;B11
NA;Panobinostat;-3;drug;black;B;12;B12
NA;Staurosporine_500nM;NA;PosCTRL;white;B;13;B13
NA;Everolimus;1;drug;black;B;14;B14
NA;Gemcitabine;-3;drug;white;B;15;B15
NA;5-FU;-9;drug;black;B;16;B16
NA;H2O;NA;NegCTRL;white;B;17;B17
NA;FOLFIRI;1;drug;black;B;18;B18
NA;Trastuzumab;-3;drug;white;B;19;B19
NA;Etoposid;3;drug;black;B;20;B20
NA;Palbociclib;3;drug;white;B;21;B21
NA;Trastuzumab;-3;drug;black;B;22;B22
NA;Paclitaxel;-9;drug;white;B;23;B23
NA;DMSO;NA;NegCTRL;black;B;24;B24
NA;FOLFIRI;-9;drug;black;C;1;C01
NA;Panobinostat;3;drug;white;C;2;C02
NA;Staurosporine_500nM;NA;PosCTRL;black;C;3;C03
NA;Irinotecan;3;drug;white;C;4;C04
NA;Paclitaxel;1;drug;black;C;5;C05
NA;Vismodegib;-3;drug;white;C;6;C06
NA;Irinotecan;1;drug;black;C;7;C07
NA;DMSO;NA;NegCTRL;white;C;8;C08
NA;H2O;NA;NegCTRL;black;C;9;C09
NA;Olaparib;3;drug;white;C;10;C10
NA;DMSO;NA;NegCTRL;black;C;11;C11
NA;Paclitaxel;9;drug;white;C;12;C12
NA;Gefitinib;1;drug;black;C;13;C13
NA;Bleomycin;1;drug;white;C;14;C14
NA;Palbociclib;1;drug;black;C;15;C15
NA;Paclitaxel;1;drug;white;C;16;C16
NA;Crizotinib;1;drug;black;C;17;C17
NA;Staurosporine_50nM;NA;PosCTRL;white;C;18;C18
NA;H2O;NA;NegCTRL;black;C;19;C19
NA;Dabrafenib_Trametinib;-3;drug;white;C;20;C20
NA;Gemcitabine;-9;drug;black;C;21;C21
NA;Dabrafenib_Trametinib;3;drug;white;C;22;C22
NA;H2O;NA;NegCTRL;black;C;23;C23
NA;Sunitinib;9;drug;white;C;24;C24
NA;Olaparib;9;drug;white;D;1;D01
NA;Dabrafenib_Trametinib;1;drug;black;D;2;D02
NA;Sunitinib;3;drug;white;D;3;D03
NA;Sunitinib;-9;drug;black;D;4;D04
