"Product.Name";"substance";"concentration";"rack_position";"volume";"Well_ID_384";"Row_ID_384";"Col_ID_384";"Target";"Library_ID"
"DMSO";"DMSO";"1";"11A";"100";"K23";"K";"23";"";"8"
"DMSO";"DMSO";"0,04";"11A";"100";"C24";"C";"24";"";"8"
"DMSO";"DMSO";"0,0016";"11A";"100";"K24";"K";"24";"";"8"
"DMSO";"DMSO";"0,2";"11A";"100";"E17";"E";"17";"";"8"
"DMSO";"DMSO";"0,008";"11A";"100";"G14";"G";"14";"";"8"
"DMSO";"DMSO";"1";"11A";"100";"J05";"J";"5";"";"8"
"DMSO";"DMSO";"0,04";"11A";"100";"M19";"M";"19";"";"8"
"DMSO";"DMSO";"0,0016";"11A";"100";"G05";"G";"5";"";"8"
"DMSO";"DMSO";"0,2";"11A";"100";"I14";"I";"14";"";"8"
"DMSO";"DMSO";"0,008";"11A";"100";"G12";"G";"12";"";"8"
"DMSO";"DMSO";"1";"11A";"100";"L02";"L";"2";"";"8"
"DMSO";"DMSO";"0,04";"11A";"100";"J02";"J";"2";"";"8"
"DMSO";"DMSO";"0,0016";"11A";"100";"C16";"C";"16";"";"8"
"DMSO";"DMSO";"0,2";"11A";"100";"B08";"B";"8";"";"8"
"DMSO";"DMSO";"0,008";"11A";"100";"G08";"G";"8";"";"8"
"DMSO";"DMSO";"1";"11A";"100";"E06";"E";"6";"";"8"
"DMSO";"DMSO";"0,04";"11A";"100";"L18";"L";"18";"";"8"
"DMSO";"DMSO";"0,0016";"11A";"100";"N10";"N";"10";"";"8"
"DMSO";"DMSO";"0,2";"11A";"100";"O06";"O";"6";"";"8"
"DMSO";"DMSO";"0,008";"11A";"100";"A17";"A";"17";"";"8"
"DMSO";"DMSO";"1";"11A";"100";"D10";"D";"10";"";"8"
"DMSO";"DMSO";"0,04";"11A";"100";"K09";"K";"9";"";"8"
"DMSO";"DMSO";"0,0016";"11A";"100";"M18";"M";"18";"";"8"
"DMSO";"DMSO";"0,2";"11A";"100";"G16";"G";"16";"";"8"
"DMSO";"DMSO";"0,008";"11A";"100";"B03";"B";"3";"";"8"
"DMSO";"DMSO";"1";"11A";"100";"I08";"I";"8";"";"8"
"DMSO";"DMSO";"0,04";"11A";"100";"P24";"P";"24";"";"8"
"DMSO";"DMSO";"0,0016";"11A";"100";"F16";"F";"16";"";"8"
"DMSO";"DMSO";"0,2";"11A";"100";"F03";"F";"3";"";"8"
"DMSO";"DMSO";"0,008";"11A";"100";"L06";"L";"6";"";"8"
"DMSO";"DMSO";"1";"11A";"100";"O22";"O";"22";"";"8"
"DMSO";"DMSO";"0,04";"11A";"100";"E13";"E";"13";"";"8"
"Bortezomib";"Drug1";"1";"C1";"100";"G02";"G";"2";"PSMB1";"8"
"Bortezomib";"Drug1";"0,04";"C1";"100";"K13";"K";"13";"PSMB1";"8"
"Bortezomib";"Drug1";"0,0016";"C1";"100";"P07";"P";"7";"PSMB1";"8"
"Bortezomib";"Drug1";"0,2";"C1";"100";"C15";"C";"15";"PSMB1";"8"
"Bortezomib";"Drug1";"0,008";"C1";"100";"G07";"G";"7";"PSMB1";"8"
"Defactinib";"Drug10";"0,0016";"E7";"100";"A02";"A";"2";"PTK2";"8"
"Defactinib";"Drug10";"0,04";"E7";"100";"O02";"O";"2";"PTK2";"8"
"Defactinib";"Drug10";"0,008";"E7";"100";"M22";"M";"22";"PTK2";"8"
"Defactinib";"Drug10";"0,2";"E7";"100";"J16";"J";"16";"PTK2";"8"
"Defactinib";"Drug10";"1";"E7";"100";"C21";"C";"21";"PTK2";"8"
"MK-8776/ SCH900776";"Drug11";"1";"G5";"100";"K17";"K";"17";"CHEK1";"8"
"MK-8776/ SCH900776";"Drug11";"0,0016";"G5";"100";"K03";"K";"3";"CHEK1";"8"
"MK-8776/ SCH900776";"Drug11";"0,008";"G5";"100";"H07";"H";"7";"CHEK1";"8"
"MK-8776/ SCH900776";"Drug11";"0,04";"G5";"100";"I05";"I";"5";"CHEK1";"8"
"MK-8776/ SCH900776";"Drug11";"0,2";"G5";"100";"K20";"K";"20";"CHEK1";"8"
"17AAG";"Drug12";"0,2";"G2";"100";"K16";"K";"16";"HSP90AA1";"8"
"17AAG";"Drug12";"1";"G2";"100";"I21";"I";"21";"HSP90AA1";"8"
"17AAG";"Drug12";"0,0016";"G2";"100";"E16";"E";"16";"HSP90AA1";"8"
"17AAG";"Drug12";"0,04";"G2";"100";"O18";"O";"18";"HSP90AA1";"8"
"17AAG";"Drug12";"0,008";"G2";"100";"K05";"K";"5";"HSP90AA1";"8"
"Crizotinib";"Drug13";"0,008";"A2";"100";"L14";"L";"14";"ALK";"8"
"Crizotinib";"Drug13";"0,2";"A2";"100";"H01";"H";"1";"ALK";"8"
"Crizotinib";"Drug13";"0,0016";"A2";"100";"I24";"I";"24";"ALK";"8"
"Crizotinib";"Drug13";"0,04";"A2";"100";"M09";"M";"9";"ALK";"8"
"Crizotinib";"Drug13";"1";"A2";"100";"B02";"B";"2";"ALK";"8"
"Dacarbazine";"Drug14";"0,0016";"G3";"100";"N08";"N";"8";"POLA2";"8"
"Dacarbazine";"Drug14";"1";"G3";"100";"G10";"G";"10";"POLA2";"8"
