line,factor1,factor2,factor3,size,rep,morphology
D004_r1,1.4070039971212014,-0.37160417541295315,0.047605396796169507,8.072446301639427,r1,solid
D004_r2,1.6319637260693696,-0.577323632252377,0.2042346767275509,8.163601545560185,r2,solid
D007_r1,-0.6743030531747075,-0.3678344387979015,-1.2106865912225613,8.15236273064576,r1,solid
D007_r2,-0.640086087530008,-0.4533820875154051,-1.0681878103462632,8.351178484790822,r2,solid
D010_r1,0.5570303376481631,-0.5509841739750708,-0.6201098195422675,8.308340128395466,r1,solid
D010_r2,0.17351272856688996,-0.6162387095677123,-0.658469461943225,8.310761041527297,r2,solid
D013_r1,-0.4697962581444925,0.7882460677690909,-0.5785221648797414,7.6515055755154595,r1,cystic
D013_r2,-0.42038830007517436,1.033221024436079,-0.5699944048540494,8.041330552928807,r2,cystic
D018_r1,0.4317971519915336,2.5826163098569404,-0.02083440902558201,8.804479411775999,r1,cystic
D018_r2,0.6716089219574699,3.2561791317192164,0.057173322921982,8.354534168727088,r2,cystic
D019_r1,0.5905477283240638,-0.3122805755543627,-0.3103766164400868,7.916795389060207,r1,solid
D019_r2,0.5353821471991081,-0.49670853899451667,-0.33025599650461845,7.829265560703564,r2,solid
D020_r1,-0.4221679918011923,-0.7639593962978722,1.4643679737791178,7.888924318944648,r1,solid
D020_r2,-0.46914345342559133,-0.6305118884827572,1.4412483742984459,8.115089850561763,r2,solid
D022_r1,-1.696358865397866,-0.45421142257339747,1.7574103310537765,7.893455111931373,r1,solid
D022_r2,-1.1990258685907131,-0.16883627687675182,1.699105659362194,7.563175727365451,r2,solid
D027_r1,-0.900741365314754,0.4710099640060469,-0.4166880193310524,7.790161009747545,r1,cystic
D027_r2,-1.800918965495682,-0.2515780395862177,-0.5769351041827779,8.158027534715243,r2,cystic
D030_r1,-0.8037107375641686,-0.5796714962858821,-0.8957655051879637,7.858049573436929,r1,cystic
D030_r2,-0.4904628384572771,-0.27993754730352916,-0.6198620103523143,7.682380245452684,r2,cystic
D046_r1,1.937268291391081,-0.6457227426837363,0.5198319194119929,9.026134369035137,r1,solid
D046_r2,2.043490715006711,-0.5699368495293977,0.664923873202864,9.057226662069333,r2,solid
