concentration,V2
0.0016,0.8150011706383179
0.008,1.7555410407329044
0.04,2.4187919708233068
0.2,2.247235404386815
1,2.2955047336036714
3.2e-4,0.32102438444367287
0.0016,1.156901213630977
0.008,1.828316194343306
0.04,1.2572387276967767
0.2,0.5223523464817792
1,1.388240864574548
3.2e-4,0.17127351358826123
0.0016,-3.330586757636955
0.008,-1.6460898072400978
0.04,-0.8377674503598793
0.2,-2.1352757605958432
1,-2.3190157889325915
3.2e-4,-2.0025616520262974
0.0016,-2.1240045393891123
0.008,-2.752356204370512
0.04,-1.1802089078127098
0.2,-3.1170244829011526
1,0.050807280233703817
3.2e-4,-2.3587811775181304
0.0016,-2.221681650693956
0.008,0.11995657326883746
0.04,-0.6644355875112535
0.2,-0.2603201186947884
1,-1.5313241457619067
3.2e-4,-2.1407078040214915
0.0016,-0.06300855262385097
0.008,-0.008916182934452954
0.04,-0.23745841472371798
0.2,2.009856721127174
1,-0.7161179597486376
3.2e-4,-2.108420767257406
0.0016,-1.0042266875096013
0.008,-0.8534595231020616
0.04,1.210047160433408
0.2,0.6297912642016565
1,0.03597341805225246
3.2e-4,0.2784358340118902
0.0016,-0.7681382151416888
0.008,-1.98705189666961
0.04,0.13466213897346369
0.2,-1.2307269058187198
1,-1.7018412894515746
3.2e-4,-0.6159174576188312
0.0016,8.649031975813061
0.008,9.080557558937185
0.04,8.144167389139191
0.2,8.866030310437981
1,6.413550095101698
3.2e-4,6.79228135001021
0.0016,6.351828215201955
0.008,5.642294073892817
0.04,8.819244232187788
0.2,7.409611137997997
1,5.091247311613233
3.2e-4,6.869663966884502
0.0016,-0.485459714879557
0.008,0.6903358621419927
0.04,0.397882664019644
0.2,0.343838006869418
1,2.074196076748301
3.2e-4,-0.42467135773370385
0.0016,-1.2744129430333773
0.008,0.07214463982816476
0.04,0.8844946171787589
0.2,0.4838734382239443
1,1.6128814793770117
3.2e-4,-0.42853535275912474
0.0016,-2.465643682956455
0.008,-1.6578477291767082
0.04,-1.410087632808511
0.2,-2.549977338219302
1,-0.8378039508793519
3.2e-4,-1.7115977187431828
0.0016,-1.8277617164330724
0.008,-1.1490989038666255
0.04,-1.1842527163838008
0.2,-0.5536596067159155
1,-2.3351409040380444
3.2e-4,-1.7809318197848325
0.0016,0.22710159734740964
0.008,0.8209193919753066
0.04,2.7237327935605817
0.2,0.9718280165335598
1,0.14166478654874348
3.2e-4,0.5504048333150217
0.0016,-0.0024251758065994278
0.008,0.35531675467075075
0.04,0.6520360379822536
0.2,-0.9761336368161456
1,-2.2812050941540507
3.2e-4,0.12698146710621816
0.0016,2.219691646381326
0.008,2.5442138428295262
0.04,3.3754095349775053
0.2,3.5600966322434164
1,3.054295828915172
3.2e-4,0.9520311796697014
0.0016,-0.4908387000253379
0.008,2.364779795508666
0.04,2.036146913056922
0.2,1.7804903353029988
1,-0.5829035291454582
3.2e-4,0.5749224612279078
0.0016,1.2168075941119518
0.008,-0.058063926111815795
0.04,2.810778900949046
0.2,-0.30959107575327854
1,-1.2492931607761555
3.2e-4,0.4631034974422244
0.0016,0.5972186152602529
0.008,-1.1379368017466926
0.04,0.16628270656475266
0.2,0.5210450297981549
1,-1.6152418658135845
3.2e-4,0.6245710820746785
0.0016,-0.9998485500089955
0.008,-0.1607344068143436
0.04,1.1420140485456136
0.2,1.240754149252713
1,1.332554413051567
3.2e-4,-1.4343630448976783
0.0016,0.0026104556624447772
0.008,1.608118176220233
0.04,0.07202458505326736
0.2,3.553629283768009
1,1.9121009034541885
3.2e-4,-1.4602728779330578
