drug,line,concentration,x
DMSO,D004T01,0,8.606027900930632
DMSO,D007T01,0,8.574707097616844
DMSO,D010T01,0,8.352318548226004
DMSO,D013T01,0,8.518791912779934
DMSO,D018T01,0,9.256555795773146
DMSO,D019T01,0,8.350429973538136
DMSO,D020T01,0,8.518192691749322
DMSO,D020T02,0,8.874797700727452
DMSO,D022T01,0,8.427706024914702
DMSO,D027T01,0,8.58316818033977
DMSO,D030T01,0,8.450625947144124
DMSO,D046T01,0,9.135724578595394
Paclitaxel,D004T01,0.0016,8.67470962929122
Paclitaxel,D004T01,0.008,7.889084407035514
Paclitaxel,D004T01,0.04,8.081588042719384
Paclitaxel,D004T01,0.2,7.907832678078815
Paclitaxel,D004T01,1.0,6.810800256635139
Paclitaxel,D007T01,0.0016,8.444407421690585
Paclitaxel,D007T01,0.008,8.083943989729974
Paclitaxel,D007T01,0.04,8.181446645513136
Paclitaxel,D007T01,0.2,8.257385655730436
Paclitaxel,D007T01,1.0,7.730163115969958
Paclitaxel,D010T01,0.0016,8.767706274181727
Paclitaxel,D010T01,0.008,8.103947336094057
Paclitaxel,D010T01,0.04,7.851479764492183
Paclitaxel,D010T01,0.2,7.735518923933707
Paclitaxel,D010T01,1.0,8.19698656123012
Paclitaxel,D013T01,0.0016,8.357962965845681
Paclitaxel,D013T01,0.008,7.683342629129088
Paclitaxel,D013T01,0.04,6.679599185844383
Paclitaxel,D013T01,0.2,6.654749994928026
Paclitaxel,D013T01,1.0,6.5102583405231496
Paclitaxel,D018T01,0.0016,9.318117065354235
Paclitaxel,D018T01,0.008,8.726006288795762
Paclitaxel,D018T01,0.04,8.727940222393896
Paclitaxel,D018T01,0.2,7.751475318021456
Paclitaxel,D018T01,1.0,7.340827983928645
Paclitaxel,D019T01,0.0016,8.245909264774093
Paclitaxel,D019T01,0.008,8.27715774010803
Paclitaxel,D019T01,0.04,7.96671463360255
Paclitaxel,D019T01,0.2,6.5337888379333435
Paclitaxel,D019T01,1.0,6.601230118728877
Paclitaxel,D020T01,0.0016,8.013829607572783
Paclitaxel,D020T01,0.008,6.962128666883083
Paclitaxel,D020T01,0.04,6.508448094695272
Paclitaxel,D020T01,0.2,6.638567789166521
Paclitaxel,D020T01,1.0,6.8501261661455
Paclitaxel,D020T02,0.0016,8.540908497328939
Paclitaxel,D020T02,0.008,7.644440761556566
Paclitaxel,D020T02,0.04,8.034306936339489
Paclitaxel,D020T02,0.2,7.752764808851328
Paclitaxel,D020T02,1.0,7.670428522190693
Paclitaxel,D022T01,0.0016,8.033147429697403
Paclitaxel,D022T01,0.008,6.6461037063435855
Paclitaxel,D022T01,0.04,6.194397061172728
Paclitaxel,D022T01,0.2,6.406874539950492
Paclitaxel,D022T01,1.0,6.273808853936053
Paclitaxel,D027T01,0.0016,8.344158698180483
Paclitaxel,D027T01,0.008,7.216622149617173
Paclitaxel,D027T01,0.04,7.414542215582232
Paclitaxel,D027T01,0.2,7.2239865574538555
Paclitaxel,D027T01,1.0,6.706365919140708
Paclitaxel,D030T01,0.0016,8.955076737836976
Paclitaxel,D030T01,0.008,7.81237820598861
Paclitaxel,D030T01,0.04,6.664409020350408
Paclitaxel,D030T01,0.2,6.444131256700441
Paclitaxel,D030T01,1.0,6.465359246574745
Paclitaxel,D046T01,0.0016,9.138951775888529
Paclitaxel,D046T01,0.008,9.07015834137632
Paclitaxel,D046T01,0.04,9.204422898212146
Paclitaxel,D046T01,0.2,9.235325624670091
Paclitaxel,D046T01,1.0,8.755021651039396
