Drug;Line;Pathway;Target;Enriched.Target;is.pathway.enriched;is.target.enriched
1-Azakenpaullone;D007T01;PI3K/Akt/mTOR;GSK-3;NA;FALSE;FALSE
A-674563;D007T01;PI3K/Akt/mTOR;Akt, CDK, PKA;cdk;FALSE;TRUE
AC480 (BMS-599626);D007T01;Neuronal Signaling;HER2;NA;FALSE;FALSE
AEE788 (NVP-AEE788);D007T01;Protein Tyrosine Kinase;EGFR, Flt, VEGFR, HER2;NA;FALSE;FALSE
AG-1024;D007T01;Protein Tyrosine Kinase;IGF-1R;NA;FALSE;FALSE
AG-1478 (Tyrphostin AG-1478);D007T01;Protein Tyrosine Kinase;EGFR;egfr;TRUE;TRUE
AP26113;D007T01;Protein Tyrosine Kinase;ALK;NA;FALSE;FALSE
AST-1306;D007T01;Protein Tyrosine Kinase;EGFR;NA;FALSE;FALSE
AT7519;D007T01;Cell Cycle;CDK;cdk;TRUE;TRUE
AT7867;D007T01;PI3K/Akt/mTOR;Akt, S6 kinase;NA;FALSE;FALSE
AT9283;D007T01;Others;Bcr-Abl, JAK, Aurora Kinase;NA;FALSE;FALSE
AZ20;D007T01;PI3K/Akt/mTOR;ATM, ATR;atm;TRUE;TRUE
AZD1080;D007T01;PI3K/Akt/mTOR;GSK-3;NA;FALSE;FALSE
AZD1480;D007T01;JAK/STAT;JAK;NA;FALSE;FALSE
AZD2014;D007T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
AZD2858;D007T01;PI3K/Akt/mTOR;GSK-3;gsk-3;TRUE;TRUE
AZD3463;D007T01;Protein Tyrosine Kinase;ALK;NA;FALSE;FALSE
AZD3759;D007T01;Protein Tyrosine Kinase;EGFR;egfr;TRUE;TRUE
AZD5363;D007T01;PI3K/Akt/mTOR;Akt;akt;TRUE;TRUE
AZD5438;D007T01;Cell Cycle;CDK;NA;FALSE;FALSE
AZD6738;D007T01;PI3K/Akt/mTOR;ATM, ATR;atm;TRUE;TRUE
AZD7762;D007T01;Cell Cycle;Chk;chk;TRUE;TRUE
AZD8055;D007T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
AZD8330;D007T01;MAPK;MEK;mek;TRUE;TRUE
AZD8931 (Sapitinib);D007T01;Protein Tyrosine Kinase;EGFR, HER2;egfr;TRUE;TRUE
AZD9291;D007T01;Protein Tyrosine Kinase;EGFR;NA;FALSE;FALSE
BGT226 (NVP-BGT226);D007T01;PI3K/Akt/mTOR;PI3K, mTOR;NA;FALSE;FALSE
BI 2536;D007T01;Others;PLK;NA;FALSE;FALSE
BKM120 (NVP-BKM120, Buparlisib);D007T01;PI3K/Akt/mTOR;PI3K;NA;TRUE;FALSE
Bortezomib__0.2;D007T01;NA;PSMB1;NA;FALSE;FALSE
Bortezomib__1.0;D007T01;NA;PSMB1;NA;FALSE;FALSE
CC-223;D007T01;PI3K/Akt/mTOR;mTOR;NA;FALSE;FALSE
CHIR-124;D007T01;Cell Cycle;Chk;NA;FALSE;FALSE
CHIR-98014;D007T01;PI3K/Akt/mTOR;GSK-3;gsk-3;TRUE;TRUE
CHIR-99021 (CT99021);D007T01;PI3K/Akt/mTOR;GSK-3;gsk-3;TRUE;TRUE
CHIR-99021 (CT99021) HCl;D007T01;PI3K/Akt/mTOR;PI3K, Akt, mTOR;NA;TRUE;FALSE
Cobimetinib (GDC-0973, RG7420);D007T01;MAPK;MEK;mek;FALSE;TRUE
CP-673451;D007T01;Protein Tyrosine Kinase;PDGFR;NA;FALSE;FALSE
Crenolanib (CP-868596);D007T01;Protein Tyrosine Kinase;PDGFR;NA;FALSE;FALSE
CUDC-101;D007T01;Epigenetics;HDAC, EGFR, HER2;NA;FALSE;FALSE
CUDC-907;D007T01;Cytoskeletal Signaling;HDAC, PI3K;NA;FALSE;FALSE
Dacomitinib (PF299804, PF299);D007T01;Protein Tyrosine Kinase;EGFR;egfr;TRUE;TRUE
Dasatinib;D007T01;Angiogenesis;Src, Bcr-Abl, c-Kit;src;FALSE;TRUE
Dinaciclib (SCH727965);D007T01;Cell Cycle;CDK;cdk;FALSE;TRUE
ENMD-2076;D007T01;Angiogenesis;Flt, Aurora Kinase, VEGFR;NA;FALSE;FALSE
Enzastaurin (LY317615);D007T01;Neuronal Signaling;PKC;pkc;FALSE;TRUE
FH535;D007T01;Stem Cells &  Wnt;Wnt, beta-catenin;NA;FALSE;FALSE
Flavopiridol (Alvocidib);D007T01;Cell Cycle;CDK;cdk;FALSE;TRUE
Flavopiridol HCl;D007T01;Cell Cycle;CDK;cdk;TRUE;TRUE
GDC-0068;D007T01;PI3K/Akt/mTOR;Akt;akt;TRUE;TRUE
GDC-0980 (RG7422);D007T01;PI3K/Akt/mTOR;mTOR, PI3K;mtor;TRUE;TRUE
Gefitinib (ZD1839);D007T01;Protein Tyrosine Kinase;EGFR;NA;FALSE;FALSE
GF109203X;D007T01;TGF-beta/Smad;PKC;pkc;TRUE;TRUE
Go 6983;D007T01;TGF-beta/Smad;PKC;pkc;TRUE;TRUE
Golvatinib (E7050);D007T01;Protein Tyrosine Kinase;c-Met, VEGFR;NA;FALSE;FALSE
GSK2126458 (GSK458);D007T01;PI3K/Akt/mTOR;PI3K, mTOR;NA;FALSE;FALSE
GSK461364;D007T01;Cell Cycle;PLK;plk;TRUE;TRUE
